Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
319,Immune response_Platelet activating factor/ PTAFR pathway signaling,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"STAT3, p38 MAPK, Adenylate cyclase",
320,Tau pathology in Alzheimer disease,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"p38alpha (MAPK14), Tau (MAPT), p38 MAPK",
321,Cell adhesion_ECM remodeling,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"Collagen II, IL8RA, Kallikrein 3 (PSA)",
322,Basophil migration in asthma,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"FPRL2, IL8RA, IL8RB",
323,Proteases and EGFR-induced mucin synthesis in normal and asthmatic epithelium,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"Amphiregulin, Mucin 2, Mucin 5AC",
324,Role of Thyroid hormone in regulation of oligodendrocyte differentiation in multiple sclerosis,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"OLIG1, OATP-A, Transthyretin",
325,Development_Fetal brown fat cell differentiation,55,2.065E-01,6.843E-01,2.065E-01,6.843E-01,3,"Adenylate cyclase, C/EBPalpha, Prolactin receptor",
326,Inhibition of mast cell functions by Siglecs in asthma,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"SIGLEC5, Siglec-6",
327,Protein folding and maturation_POMC processing,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"NAT-1, PC2",
328,Role of histone modificators in progression of multiple myeloma,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"Rb protein, Tubulin alpha",
329,Inhibition of Ephrin receptors in colorectal cancer,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"Ephrin-A receptor 7, Ephrin-A receptors",
330,T regulatory cells in asthma,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"STAT3, MHC class II",
331,Development_WNT/Beta-catenin signaling in cell differentiation,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"Islet-1, MYOD",
332,Role of prenatal nicotine exposure in apoptosis and proliferation of pancreatic beta cells,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"Bcl-2, nAChR alpha-4",
333,DNA damage_Brca1 as a transcription regulator,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"Rb protein, ESR1 (nuclear)",
334,Transcription_Ligand-dependent activation of the ESR1/SP pathway,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"ESR1 (nuclear), Prolactin receptor",
335,Colorectal cancer (general schema),30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"IL8RA, IL8RB",
336,Role of adipose tissue hypoxia in obesity and type 2 diabetes,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"Adiponectin, C/EBPalpha",
337,Neurophysiological process_nNOS signaling in neuronal synapses,30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"CAPON, Dexras1",
338,Signal transduction_Additional pathways of NF-kB activation (in the nucleus),30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"p38alpha (MAPK14), Adenylate cyclase",
339,Putative pathways of Oleic acid sensing in ventromedial hypothalamus in obesity (rodent model),30,2.103E-01,6.843E-01,2.103E-01,6.843E-01,2,"SUR1, Kir6.2",
340,Apoptosis and survival_Endoplasmic reticulum stress response pathway,56,2.139E-01,6.899E-01,2.139E-01,6.899E-01,3,"p38alpha (MAPK14), XBP1, Bcl-2",
341,Development_Keratinocyte differentiation,56,2.139E-01,6.899E-01,2.139E-01,6.899E-01,3,"p38alpha (MAPK14), Keratin 1, C/EBPalpha",
342,Impaired inhibitory action of lipoxins on neutrophil migration in CF,56,2.139E-01,6.899E-01,2.139E-01,6.899E-01,3,"IL8RA, MLCK, PREX1",
343,Neurophysiological process_Kappa-type opioid receptor in transmission of nerve impulses,31,2.209E-01,6.977E-01,2.209E-01,6.977E-01,2,"EBP50, Kir3.1",
344,Putative glucocorticoid- and LABA-mediated inhibition of pro-fibrotic signaling in airway fibroblasts/myofibroblasts,31,2.209E-01,6.977E-01,2.209E-01,6.977E-01,2,"p38 MAPK, C/EBPalpha",
345,NETosis in SLE,31,2.209E-01,6.977E-01,2.209E-01,6.977E-01,2,"p38 MAPK, CAMP",
346,Autocrine production of eosinophil pro-survival cytokines in asthma,31,2.209E-01,6.977E-01,2.209E-01,6.977E-01,2,"YB-1, p38 MAPK",
347,Inhibition of TGF-beta signaling in lung cancer,31,2.209E-01,6.977E-01,2.209E-01,6.977E-01,2,"p38alpha (MAPK14), Rb protein",
348,Influence of low doses of Arsenite on glucose uptake in adipocytes,31,2.209E-01,6.977E-01,2.209E-01,6.977E-01,2,"A-FABP, C/EBPalpha",
349,Role of nicotine in pathogenesis of SCLC,57,2.214E-01,6.977E-01,2.214E-01,6.977E-01,3,"GRP-R, Bcl-2, IL8RB",
350,Apoptotic pathways and resistance to apoptosis in lung cancer cells,57,2.214E-01,6.977E-01,2.214E-01,6.977E-01,3,"PEA15, FGFR1, Bcl-2",
351,Development_Prolactin receptor signaling,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"STAT3, Bcl-2, Prolactin receptor",
352,Hyaluronic acid/ CD44 signaling in cancer,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"STAT3, ESR1 (nuclear), PDCD4",
353,Role of integrins in eosinophil degranulation in asthma,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"Hck, p38 MAPK, SP-D",
354,TGF-beta signaling via kinase cascades in breast cancer,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"p38alpha (MAPK14), Amphiregulin, p38 MAPK",
355,Immune response_CCR5 signaling in macrophages and T lymphocytes,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"STAT3, CCR5, p38 MAPK",
356,Cytoskeleton remodeling_Regulation of actin cytoskeleton organization by the kinase effectors of Rho GTPases,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"RhoA-related, RhoB, MLCK",
357,Role of B cells in SLE,58,2.290E-01,7.072E-01,2.290E-01,7.072E-01,3,"Fc gamma RII beta, MHC class II, Bcl-2",
358,EML4/ALK fusion protein in nonsmoking-related lung cancer ,32,2.314E-01,7.072E-01,2.314E-01,7.072E-01,2,"STAT3, TITF1",
359,Th2 cytokine-induced alternative activation of alveolar macrophages in asthma,32,2.314E-01,7.072E-01,2.314E-01,7.072E-01,2,"CCL17, TFF2",
360,Neurophysiological process_Glucose-excited neurons of ventromedial nucleus (rodent model),32,2.314E-01,7.072E-01,2.314E-01,7.072E-01,2,"SUR1, Kir6.2",
361,Cytoskeleton remodeling_Reverse signaling by Ephrin-B,32,2.314E-01,7.072E-01,2.314E-01,7.072E-01,2,"Tau (MAPT), Tubulin alpha",
362,Renal secretion of inorganic electrolytes,59,2.365E-01,7.163E-01,2.365E-01,7.163E-01,3,"SLC12A1, Carbonic anhydrase IV, Klotho",
363,Development_Regulation of cytoskeleton proteins in oligodendrocyte differentiation and myelination,59,2.365E-01,7.163E-01,2.365E-01,7.163E-01,3,"Tau (MAPT), Tubulin alpha, KLHL1",
364,Transcription_Role of VDR in regulation of genes involved in osteoporosis,59,2.365E-01,7.163E-01,2.365E-01,7.163E-01,3,"Androgen receptor, Calcitonin receptor, CG alpha",
365,Influence of multiple myeloma cells on bone marrow stromal cells,33,2.421E-01,7.163E-01,2.421E-01,7.163E-01,2,"FGFR4, FGFR1",
366,IL-2 as a growth factor for T cells in multiple sclerosis,33,2.421E-01,7.163E-01,2.421E-01,7.163E-01,2,"Rb protein, Bcl-2",
367,Apoptosis and survival_Granzyme B signaling,33,2.421E-01,7.163E-01,2.421E-01,7.163E-01,2,"Tubulin alpha, FGFR1",
368,Nicotine signaling in glutamatergic neurons,33,2.421E-01,7.163E-01,2.421E-01,7.163E-01,2,"Adenylate cyclase type V, nAChR alpha-4",
369,Development_EGF-induced proliferation of Type C cells in SVZ of adult brain,33,2.421E-01,7.163E-01,2.421E-01,7.163E-01,2,"SOX2, Prolactin receptor",
370,Chemotaxis_CCL19- and CCL21-mediated chemotaxis,33,2.421E-01,7.163E-01,2.421E-01,7.163E-01,2,"p38 MAPK, Adenylate cyclase",
371,IGF family signaling in colorectal cancer,60,2.442E-01,7.163E-01,2.442E-01,7.163E-01,3,"IBP, C/EBPalpha, Clusterin",
372,Signal transduction_MIF signaling pathway,60,2.442E-01,7.163E-01,2.442E-01,7.163E-01,3,"SFK, Bcl-2, IL8RB",
373,Signal transduction_mTORC1 downstream signaling,60,2.442E-01,7.163E-01,2.442E-01,7.163E-01,3,"STAT3, HMGCS2, PDCD4",
374,Development_Thyroliberin signaling,60,2.442E-01,7.163E-01,2.442E-01,7.163E-01,3,"Thyroliberin, CG alpha, Adenylate cyclase",
375,Immune response_IL-17 signaling pathways,60,2.442E-01,7.163E-01,2.442E-01,7.163E-01,3,"G-CSF, p38 MAPK, Mucin 5AC",
376,Oxidative stress_ROS-mediated MAPK activation via canonical pathways,60,2.442E-01,7.163E-01,2.442E-01,7.163E-01,3,"SFK, p38 MAPK, FGFR1",
377,Neolacto-series GSL Metabolism p.2,61,2.519E-01,7.240E-01,2.519E-01,7.240E-01,3,"FUT6, GALGT2, CHST1",
378,Signal transduction_Erk Interactions: Inhibition of Erk,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"MKP-2, PEA15",
379,Th2 cell migration in asthma,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"CCL17, CCR8",
380,NK cells in allergic contact dermatitis,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"MHC class II, CCR5",
381,Development_Role of CDK5 in neuronal development,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"Delta-catenin, Tau (MAPT)",
382,G-protein signaling_RhoA regulation pathway,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"Ephrin-A receptors, Rhophilin 1",
383,Development_BMP signaling in cardiac myogenesis,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"BMP7, p38 MAPK",
384,G-protein signaling_G-Protein beta/gamma signaling cascades,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"Adenylate cyclase type V, Adenylate cyclase type II",
385,Oxidative stress_ROS-mediated activation of MAPK via inhibition of phosphatases,34,2.527E-01,7.240E-01,2.527E-01,7.240E-01,2,"PP2A regulatory, p38 MAPK",
386,Heparan sulfate/heparin metabolism,62,2.596E-01,7.299E-01,2.596E-01,7.299E-01,3,"HSST4, 3-OST5, HS6ST3",
387,Regulation of intrinsic membrane properties and excitability of striatonigral medium spiny neurons in Huntington's disease,62,2.596E-01,7.299E-01,2.596E-01,7.299E-01,3,"MaxiK alpha subunit, Adenylate cyclase type V, CACNA1D",
388,IL-6 signaling pathway in lung cancer,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"STAT3, p38 MAPK",
389,Development_Transcriptional regulation of megakaryopoiesis,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"TAL1, Glycoprotein VI",
390,Immune response_Differentiation of natural regulatory T cells,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"STAT3, MHC class II",
391,Immune response_Th17 cell differentiation,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"STAT3, MHC class II",
392,TNF-alpha and IL-1 beta induce hyperglycemia in obesity and type 2 diabetes in adipocytes,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"GM3 synthase, p38 MAPK",
393,Role of Tissue factor in cancer independent of coagulation protease signaling,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"Coagulation factor VII, p38 MAPK",
394,Beta-alanine metabolism,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"GABT, ABP1",
395,Development_Growth hormone signaling via STATs and PLC/IP3,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"STAT3, GHR",
396,Anti-apoptotic action of Gastrin in pancreatic cancer,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"p38alpha (MAPK14), Bcl-2",
397,Cell cycle_ESR1 regulation of G1/S transition,35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"Rb protein, ESR1 (nuclear)",
398,Glucose-excited neurons of arcuate nucleus in obesity (rodent model),35,2.634E-01,7.299E-01,2.634E-01,7.299E-01,2,"SUR1, Kir6.2",
399,HCV-mediated liver damage and predisposition to HCC via cell stress,63,2.673E-01,7.364E-01,2.673E-01,7.364E-01,3,"STAT3, p38alpha (MAPK14), XBP1",
400,O-glycan biosynthesis,63,2.673E-01,7.364E-01,2.673E-01,7.364E-01,3,"GALNTL3, GALNT6, B3Gn-T6",
401,G-protein signaling_Rap1B regulation pathway,11,2.726E-01,7.364E-01,2.726E-01,7.364E-01,1,Ca-ATPase3,
402,Prolactin/ ERK signaling in breast cancer,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"GSTM1, Prolactin receptor",
403,Immune response_IL-6-induced acute-phase response in hepatocytes,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"STAT3, Hemopexin",
404,Urea cycle,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"CPSM, Aquaporin 10",
405,Cigarette smoke-induced inflammatory signaling in airway epithelial cells,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"p38alpha (MAPK14), Amphiregulin",
406,Inhibition of apoptosis in multiple myeloma,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"STAT3, Bcl-2",
407,Upregulation of MITF in melanoma,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"Rb protein, Bcl-2",
408,Development_SSTR2 in regulation of cell proliferation,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"Rb protein, SSTR2",
409,Development_Thrombospondin 1 signaling,36,2.740E-01,7.364E-01,2.740E-01,7.364E-01,2,"p38 MAPK, Adenylate cyclase",
410,Eosinophil chemotaxis in asthma,64,2.751E-01,7.364E-01,2.751E-01,7.364E-01,3,"IL8RA, CCR8, IL8RB",
411,Myeloid-derived suppressor cells and M2 macrophages in cancer,64,2.751E-01,7.364E-01,2.751E-01,7.364E-01,3,"STAT3, G-CSF, CAT-2",
412,Oxidative stress in adipocyte dysfunction in type 2 diabetes and metabolic syndrome X,64,2.751E-01,7.364E-01,2.751E-01,7.364E-01,3,"A-FABP, Adiponectin, PLA2",
413,Development_Role of IL-8 in angiogenesis,65,2.829E-01,7.458E-01,2.829E-01,7.458E-01,3,"STAT3, IL8RA, IL8RB",
414,TNF-alpha and IL-1 beta-mediated regulation of contraction and secretion of inflammatory factors in normal and asthmatic airway smooth muscle,65,2.829E-01,7.458E-01,2.829E-01,7.458E-01,3,"p38alpha (MAPK14), PLA2, p38 MAPK",
415,Neurophysiological process_Constitutive and regulated NMDA receptor trafficking,65,2.829E-01,7.458E-01,2.829E-01,7.458E-01,3,"Chapsyn-110, Adenylate cyclase, MALS",
416,Immune response_Generation of memory CD4+ T cells,37,2.847E-01,7.458E-01,2.847E-01,7.458E-01,2,"MHC class II, Bcl-2",
417,Deregulation of PSD-95-dependent signaling in Huntington's disease,37,2.847E-01,7.458E-01,2.847E-01,7.458E-01,2,"p38alpha (MAPK14), p38 MAPK",
418,Development_Retinoic acid and retinoic acid receptors in regulation of oligodendrocyte differentiation,37,2.847E-01,7.458E-01,2.847E-01,7.458E-01,2,"OLIG1, Transthyretin",
419,G-protein signaling_H-RAS regulation pathway,37,2.847E-01,7.458E-01,2.847E-01,7.458E-01,2,"RET, GFRalpha1",
420,Attenuation of IFN type I signaling in melanoma cells,37,2.847E-01,7.458E-01,2.847E-01,7.458E-01,2,"STAT3, p38alpha (MAPK14)",
421,Role of alveolar cell senescence in COPD,37,2.847E-01,7.458E-01,2.847E-01,7.458E-01,2,"p38 MAPK, Klotho",
422,Transcription_HIF-1 targets,95,2.865E-01,7.470E-01,2.865E-01,7.470E-01,4,"Carbonic anhydrase XII, SOX2, Epo, Stanniocalcin 2",
423,Histidine-glutamate-glutamine metabolism,95,2.865E-01,7.470E-01,2.865E-01,7.470E-01,4,"GABT, HUTU, DHE4, HUTH",
424,Development_Schema: Embryonal myogenesis,12,2.933E-01,7.488E-01,2.933E-01,7.488E-01,1,FGFR1,
425,Role of type 2 innate lymphoid cells in airway allergic inflammation and tissue repair,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"GATA-3, Amphiregulin",
426,Apoptosis and survival_Anti-apoptotic action of membrane-bound ESR1,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"ESR1 (membrane), Bcl-2",
427,Development_Gastrin in differentiation of the gastric mucosa,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"TFF1, TFF2",
428,Transcription_Role of AP-1 in regulation of cellular metabolism,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"HBE, CG alpha",
429,Cell adhesion_Cell-matrix glycoconjugates,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"CEACAM5, A1M",
430,Aldosterone biosynthesis and metabolism,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"AKR1C4, UGT2B4",
431,WNT signaling in invasive-type melanoma cells,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"STAT3, PAX3",
432,TNF-alpha-induced inflammatory signaling in normal and asthmatic airway epithelium,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"CCL17, p38 MAPK",
433,Role of Endothelin-1 in inflammation and vasoconstriction in Sickle cell disease,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"p38alpha (MAPK14), CCR5",
434,WNT signaling in proliferative-type melanoma cells,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"MSG1, NRCAM",
435,Cell adhesion_Tight junctions,38,2.953E-01,7.488E-01,2.953E-01,7.488E-01,2,"TITF1, WNK4",
436,Development_Thrombopoietin signaling via ERK1/2 and PI3K,67,2.985E-01,7.548E-01,2.985E-01,7.548E-01,3,"TAL1, p38 MAPK, Glycoprotein VI",
437,Development_PACAP signaling in neural cells,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"TY3H, Bcl-2",
438,Development_BMP7 in brown adipocyte differentiation,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"p38alpha (MAPK14), BMP7",
439,Role of tumor microenvironment in plexiform neurofibroma formation in neurofibromatosis type 1,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"Tryptase, p38 MAPK",
440,Transcription_p53 signaling pathway,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"Rb protein, Bcl-2",
441,HIV-1 signaling via CCR5 in macrophages and T lymphocytes,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"CCR5, p38 MAPK",
442,Resistance of melanoma cells to Apo-2L(TNFSF10)-induced apoptosis,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"STAT3, Bcl-2",
443,Development_ERBB-family signaling,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"Amphiregulin, Neuregulin 3",
444,Activation of Notch signaling in breast cancer,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"STAT3, p38 MAPK",
445,Immune response_Differentiation and clonal expansion of CD8+ T cells,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"STAT3, MHC class II",
446,Blood coagulation_Blood coagulation,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"Alpha 1-antitrypsin, Coagulation factor VII",
447,Cooperative action of IFN-gamma and TNF-alpha on astrocytes in multiple sclerosis,39,3.059E-01,7.548E-01,3.059E-01,7.548E-01,2,"MHC class II, Adenylate cyclase",
448,SLE genetic marker-specific pathways in B cells,99,3.122E-01,7.655E-01,3.122E-01,7.655E-01,4,"Fc gamma RII beta, BANK, XBP1, Bcl-2",
449,Calcium-dependent regulation of normal and asthmatic smooth muscle contraction,69,3.142E-01,7.655E-01,3.142E-01,7.655E-01,3,"Tryptase, Neurokinin B, MLCK",
450,Stem cells_NOTCH1-induced self-renewal of glioblastoma stem cells,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"STAT3, SOX2",
451,Development_H3K27 demethylases in differentiation of stem cells,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"HOXB2, HOXB1",
452,Immune response_Th1 and Th2 cell differentiation,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"GATA-3, MHC class II",
453,The role of UV radiation in melanoma development,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"Amphiregulin, p38 MAPK",
454,Recurrent gene fusions in Prostate Cancer,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"Androgen receptor, ERG",
455,Neurophysiological process_ACM1 and ACM2 in neuronal membrane polarization,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"Kir3.1, Kir2.2",
456,Development_Astrocyte differentiation from adult stem cells,40,3.165E-01,7.655E-01,3.165E-01,7.655E-01,2,"STAT3, OLIG1",
457,Development_Growth hormone-releasing hormone (GH-RH) signaling,41,3.270E-01,7.825E-01,3.270E-01,7.825E-01,2,"NAV1.9, Adenylate cyclase",
458,Translation_(L)-selenoaminoacids incorporation in proteins during translation,41,3.270E-01,7.825E-01,3.270E-01,7.825E-01,2,"DIO1, Selenoprotein P",
459,Fibroblast/ myofibroblast proliferation in asthmatic airways,41,3.270E-01,7.825E-01,3.270E-01,7.825E-01,2,"Tryptase, FGFR1",
460,Regulation of beta-adrenergic receptors signaling in pancreatic cancer,41,3.270E-01,7.825E-01,3.270E-01,7.825E-01,2,"Adenylate cyclase, nAChR alpha-4",
461,Cytoskeleton remodeling_Role of PKA in cytoskeleton reorganisation,41,3.270E-01,7.825E-01,3.270E-01,7.825E-01,2,"Adenylate cyclase, MLCK",
462,Development_Positive regulation of STK3/4 (Hippo) pathway and negative regulation of YAP/TAZ function,71,3.299E-01,7.838E-01,3.299E-01,7.838E-01,3,"EBP50, Adenylate cyclase, YAP1 (YAp65)",
463,Glutathione metabolism,71,3.299E-01,7.838E-01,3.299E-01,7.838E-01,3,"GSTM1, GSTM5, GSTA3",
464,Riboflavin metabolism,14,3.331E-01,7.838E-01,3.331E-01,7.838E-01,1,ENPP1,
465,Asthma-specific pathways of airway smooth muscle cell proliferation,14,3.331E-01,7.838E-01,3.331E-01,7.838E-01,1,C/EBPalpha,
466,Type 2 diabetes (general schema),14,3.331E-01,7.838E-01,3.331E-01,7.838E-01,1,Adiponectin,
467,IL-6 signaling in tumor-associated monocytes/macrophages in breast cancer,14,3.331E-01,7.838E-01,3.331E-01,7.838E-01,1,STAT3,
468,Serotonin modulation of dopamine release in nicotine addiction,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"Adenylate cyclase, nAChR alpha-4",
469,Disruption of methionine metabolism in induction and progression of HCC,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"GNMT, ADH7",
470,Immune response_PIP3 signaling in B lymphocytes,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"Fc gamma RII beta, PREX1",
471,Development_Growth hormone signaling via PI3K/AKT and MAPK cascades,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"p38alpha (MAPK14), GHR",
472,Development_NOTCH in inhibition of WNT/Beta-catenin-induced osteogenesis,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"A-FABP, C/EBPalpha",
473,Chemoresistance pathways mediated by constitutive activation of PI3K pathway and BCL-2 in small cell lung cancer,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"FGFR1, Bcl-2",
474,Chylomicron dyslipidemia in type 2 diabetes and metabolic syndrome X,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"APOB48 receptor, ABCG8",
475,Growth factors in regulation of oligodendrocyte precursor cells survival in multiple sclerosis,42,3.375E-01,7.838E-01,3.375E-01,7.838E-01,2,"IBP, Bcl-2",
476,"Immune response_IL-2 signaling via ERK, PI3K, and PLC-gamma",73,3.456E-01,7.976E-01,3.456E-01,7.976E-01,3,"STAT3, Rb protein, Bcl-2",
477,Regulation of metabolism_Role of Adiponectin in regulation of metabolism,43,3.480E-01,7.976E-01,3.480E-01,7.976E-01,2,"p38alpha (MAPK14), Adiponectin",
478,Neurophysiological process_HTR1A receptor signaling in neuronal cells,43,3.480E-01,7.976E-01,3.480E-01,7.976E-01,2,"Kir3.1, Adenylate cyclase",
479,ESR1 (membrane) 36 kDa isoform signaling in breast cancer,43,3.480E-01,7.976E-01,3.480E-01,7.976E-01,2,"ESR1 (membrane), Gamma-synuclein",
480,Environmental factors-induced inflammatory signaling in normal and asthmatic airway epithelium,43,3.480E-01,7.976E-01,3.480E-01,7.976E-01,2,"p38alpha (MAPK14), p38 MAPK",
481,Role of platelets in allograft rejection,43,3.480E-01,7.976E-01,3.480E-01,7.976E-01,2,"Glycoprotein VI, Kainate receptor",
482,Neurogenesis_NGF/ TrkA MAPK-mediated signaling,105,3.512E-01,7.976E-01,3.512E-01,7.976E-01,4,"TY3H, PP2A regulatory, RIN, p38 MAPK",
483,Development_Ligand-dependent activation of the ESR1/AP-1 pathway,15,3.521E-01,7.976E-01,3.521E-01,7.976E-01,1,ESR1 (nuclear),
484,Metabolic syndrome X (general schema),15,3.521E-01,7.976E-01,3.521E-01,7.976E-01,1,Adiponectin,
485,HSP22 and BAG-3-dependend macroautophagy in Huntington's disease,15,3.521E-01,7.976E-01,3.521E-01,7.976E-01,1,HSP22,
486,Role of GITR in skin sensitization,15,3.521E-01,7.976E-01,3.521E-01,7.976E-01,1,p38 MAPK,
487,Immune response_Regulatory role of C1q in platelet activation,15,3.521E-01,7.976E-01,3.521E-01,7.976E-01,1,Glycoprotein VI,
488,IGF signaling in lung cancer,44,3.584E-01,8.018E-01,3.584E-01,8.018E-01,2,"p38 MAPK, IBP",
489,K-RAS signaling in pancreatic cancer,44,3.584E-01,8.018E-01,3.584E-01,8.018E-01,2,"FGFR4, Bcl-2",
490,Development_Flt3 signaling,44,3.584E-01,8.018E-01,3.584E-01,8.018E-01,2,"FLT3, p38 MAPK",
491,Regulation of metabolism_Triiodothyronine and Thyroxine signaling,44,3.584E-01,8.018E-01,3.584E-01,8.018E-01,2,"DIO1, S14 protein",
492,Chemotaxis_C5a-induced chemotaxis,44,3.584E-01,8.018E-01,3.584E-01,8.018E-01,2,"p38alpha (MAPK14), PREX1",
493,Inhibition of remyelination in multiple sclerosis: regulation of cytoskeleton proteins,44,3.584E-01,8.018E-01,3.584E-01,8.018E-01,2,"Tau (MAPT), Tubulin alpha",
494,Renal secretion of organic electrolytes / Rodent version ,75,3.612E-01,8.066E-01,3.612E-01,8.066E-01,3,"PEPT1, NaDC-1, SLC22A8",
495,ATP metabolism,107,3.642E-01,8.115E-01,3.642E-01,8.115E-01,4,"Adenylate cyclase type IV, Adenylate cyclase type V, Adenylate cyclase type II, ENPP1",
496,Nicotine signaling in chromaffin cells,45,3.687E-01,8.133E-01,3.687E-01,8.133E-01,2,"Chapsyn-110, TY3H",
497,Neurophysiological process_Glutamic acid regulation of Dopamine D1A receptor signaling,45,3.687E-01,8.133E-01,3.687E-01,8.133E-01,2,"PP2A regulatory, Adenylate cyclase type V",
498,Immune response_TNF-R2 signaling pathways,45,3.687E-01,8.133E-01,3.687E-01,8.133E-01,2,"p38 MAPK, Bcl-2",
499,Proinflammatory mediators production and activation of basophils in asthma,45,3.687E-01,8.133E-01,3.687E-01,8.133E-01,2,"MHC class II, p38 MAPK",
