Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,transformed_FC,,,,rna_all_FC,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
544,Mechanisms of drug resistance in SCLC,70,2.127E-02,7.320E-02,2.127E-02,7.320E-02,20,"CD81, TERC, ERK1/2, CD9, Cytochrome c, MGF, HSPA1A, p70 S6 kinase1, PI3K reg class IA, Bcl-2, FAK1, Bcl-XL, IGF-1 receptor, Cyclin D1, ABCC5, AKT(PKB), HSP70, IGF-1, PDK (PDPK1), p70 S6 kinase2",3.456E-02,1.046E-01,23,"CD81, ERK1/2, Cytochrome c, Rad51, BAD, PI3K reg class IA, IKK-alpha, Bcl-XL, IGF-1 receptor, AKT(PKB), HSP70, PDK (PDPK1), CD9, MGF, HSPA1A, HSF1, p70 S6 kinase1, Bcl-2, FAK1, Cyclin D1, ABCC5, IGF-1, p70 S6 kinase2",
545,Chemotaxis_Inhibitory action of lipoxins on IL-8- and Leukotriene B4-induced neutrophil migration,53,2.129E-02,7.506E-02,8.655E-02,1.967E-01,14,"G-protein alpha-i family, ERK1/2, Myosin II, Alpha-actinin, PAK1, LTBR1, IL8RA, PIP5KI, MRLC, AKT(PKB), MELC, PDK (PDPK1), MLCK, PREX1",2.129E-02,7.506E-02,19,"ERK1/2, PKC-zeta, Actin, Rac1, AKT(PKB), PDK (PDPK1), MLCK, G-protein alpha-i family, Myosin II, PAK1, LTBR1, IL8RA, PIP5KI, Actomyosin, MRLC, MELC, PI3K reg class IB (p101), Cofilin, PREX1",
546,Chemotaxis_CCR1 signaling,53,2.129E-02,7.506E-02,2.242E-02,7.682E-02,16,"G-protein alpha-i family, ERK1/2, c-Raf-1, CCR1, IP3 receptor, STAT3, I-kB, Calmodulin, PLC-beta, cPLA2, Adenylate cyclase, IKK-beta, MEK1/2, G-protein alpha-14, p38 MAPK, IL-6 receptor",2.129E-02,7.506E-02,19,"ERK1/2, CCR1, IKK (cat), Rac1, IP3 receptor, I-kB, CCL13, PLC-beta, IKK-alpha, cPLA2, Adenylate cyclase, G-protein alpha-14, PKC-delta, G-protein alpha-i family, Calmodulin, IKK-beta, PI3K reg class IB (p101), p38 MAPK, IL-6 receptor",
547,Signal transduction_Angiotensin II/ AGTR1 signaling via RhoA and JNK,78,2.147E-02,7.554E-02,2.388E-01,3.896E-01,17,"PU.1, G-protein alpha-12 family, c-Fos, ERK1/2, AGTR1, PAK1, G-protein alpha-q/11, IP3 receptor, AP-1, Calmodulin, EPHX2, MRLC, eNOS, FAK1, Cyclin D1, JNK(MAPK8-10), MLCK",2.147E-02,7.554E-02,26,"c-Fos, LARG, ERK1/2, c-Jun/c-Fos, G-protein alpha-q/11, PLC-beta1, Rac1, IP3 receptor, EPHX2, MLCK, PU.1, G-protein alpha-12 family, PKC-delta, c-Jun, AGTR1, PAK1, MKK7 (MAP2K7), Paxillin, AP-1, Calmodulin, MEKK1(MAP3K1), MRLC, eNOS, FAK1, Cyclin D1, JNK(MAPK8-10)",
548,Regulation of lipid metabolism_Insulin regulation of fatty acid metabolism,89,2.166E-02,7.601E-02,2.504E-02,8.354E-02,24,"MEK1(MAP2K1), ACACA, SREBP1 (nuclear), GRB2, Insulin processed, PDE3B, SCD, CISY, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, LIPS, FASN, SREBP1 (Golgi membrane), SREBP1 precursor, ACLY, PI3K reg class IA, Insulin receptor, SCAP, AKT(PKB), SP1, PDK (PDPK1), Perilipin",2.166E-02,7.601E-02,29,"SREBP1 (nuclear), GRB2, Insulin processed, PDE3B, SCD, CISY, IRS-1, H-Ras, ERK1/2, PKA-reg (cAMP-dependent), GLUT4, FASN, SREBP1 precursor, INSIG2, PDH, PI3K reg class IA, Insulin receptor, AKT(PKB), PDK (PDPK1), ACSL1, LIPS, PDHA (somatic), SREBP1 (Golgi membrane), ACLY, PDH alpha, SCAP, AKT2, SP1, Perilipin",
549,WNT signaling in gastric cancer,36,2.192E-02,7.602E-02,1.928E-01,3.318E-01,9,"WNT9A, beta-TrCP, Dsh, Casein kinase I alpha, Ubiquitin, WNT, Skp2/TrCP/FBXW, Cyclin D1, Axin",2.192E-02,7.602E-02,14,"WNT3A, Dsh, Casein kinase I alpha, Ubiquitin, Skp2/TrCP/FBXW, Axin, WNT9A, Tcf(Lef), beta-TrCP, WNT1, WNT, WNT10B, Cyclin D1, Frizzled",
550,G-protein signaling_Regulation of RAC1 activity,36,2.192E-02,7.602E-02,1.928E-01,3.318E-01,9,"ACK1, H-Ras, CD19, VIL2 (ezrin), RhoGAP1, CD3, VAV-2, DBL, p200RhoGAP",2.192E-02,7.602E-02,14,"SRGAP2(WRP), ACK1, H-Ras, CD19, Rac1, VIL2 (ezrin), RhoGAP1, ZAP70, VAV-2, B-chimaerin, RhoGDI beta, DBL, p200RhoGAP, TCR alpha/beta",
551,CHDI_Correlations from Discovery data_Causal network (positive),36,2.192E-02,7.602E-02,1.928E-01,3.318E-01,9,"gp130, GRB2, STAT3, PI3K reg class IA (p85), GABA-A receptor, Kalirin, IFN-alpha, Angiopoietin 3, FAK1",2.192E-02,7.602E-02,14,"gp130, GRB2, Actin, Rac1, PI3K reg class IA (p85), GABA-A receptor, Kalirin, IFN-alpha, Angiopoietin 3, Paxillin, SHP-2, N-WASP, FAK1, Ephrin-B receptors",
552,Non-genomic signaling of ESR2 (membrane) in lung cancer cells,53,2.242E-02,7.682E-02,2.242E-02,7.682E-02,16,"MEK1(MAP2K1), EGF, GRB2, G-protein alpha-i family, ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, ESR2 (membrane), PI3K reg class IA (p85), Amphiregulin, G-protein alpha-s, Adenylate cyclase, nAChR alpha-4, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3)",1.322E-01,2.614E-01,16,"EGF, GRB2, ERK1/2, PKA-reg (cAMP-dependent), PI3K reg class IA (p85), Amphiregulin, Adenylate cyclase, nAChR alpha-4, CYP19, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), nAChR alpha4/beta2, G-protein alpha-i family, ESR2 (membrane), G-protein alpha-s",
553,LRRK2 in neuronal apoptosis in Parkinson's disease,17,2.283E-02,7.787E-02,2.283E-02,7.787E-02,7,"PRDX3, KCRU, AKT1, LRRK2, Cytochrome c, FADD, ANT",2.377E-02,7.967E-02,8,"PRDX3, AKT1, Cytochrome c, FADD, ANT, Thioredoxin, KCRU, LRRK2",
554,Involvement of VEGF signaling in the progression of lung cancer,17,2.283E-02,7.787E-02,2.283E-02,7.787E-02,7,"ERK1/2, p190RhoGAP, VEGFR-1, VEGF-D, AKT(PKB), p38 MAPK, C/EBPalpha",7.053E-02,1.695E-01,7,"ERK1/2, VEGF-D, AKT(PKB), p190RhoGAP, VEGFR-1, p38 MAPK, C/EBPalpha",
555,CHDI_Correlations from Replication data_Cytoskeleton and adhesion module,64,2.300E-02,7.874E-02,2.621E-01,4.228E-01,14,"MHC class II, GRB2, Alpha-actinin, PAK1, MyHC, ILK, IP3 receptor, CD3, MRLC, FAK1, WASP, AKT(PKB), MELC, SDF-1",2.300E-02,7.874E-02,22,"MHC class II, GRB2, Rac1, IP3 receptor, Plasminogen, ZAP70, WASP, AKT(PKB), SDF-1, CALDAG-GEFI, Plasmin, PAK1, C3G, MyHC, ILK, Paxillin, MRLC, FAK1, MELC, PI3K reg class IB (p101), TCR alpha/beta, Ephrin-B receptors",
556,Apoptosis and survival_Anti-apoptotic action of Gastrin,43,2.312E-02,7.874E-02,3.700E-02,1.097E-01,13,"MEK1(MAP2K1), ERK1/2, c-Raf-1, PAK1, G-protein alpha-q/11, IP3 receptor, PI3K reg class IA (p85), Bcl-2, FAK1, Bcl-XL, PKC-gamma, AKT(PKB), PDK (PDPK1)",2.312E-02,7.874E-02,16,"IRS-1, ERK1/2, G-protein alpha-q/11, Rac1, IP3 receptor, BAD, PI3K reg class IA (p85), Bcl-XL, PKC-gamma, AKT(PKB), PDK (PDPK1), CCKBR, PAK1, Bcl-2, FAK1, G-protein alpha-q",
557,Immune response_Substance P-stimulated expression of proinflammatory cytokines via MAPKs,43,2.312E-02,7.874E-02,7.618E-02,1.792E-01,12,"Substance P extracellular region, ERK1/2, c-Raf-1, IP3 receptor, I-kB, PLC-beta, IKK-beta, MEK1/2, JNK(MAPK8-10), AKT(PKB), PDK (PDPK1), p38 MAPK",2.312E-02,7.874E-02,16,"Substance P extracellular region, ERK1/2, IKK (cat), IP3 receptor, I-kB, CCL13, PLC-beta, IKK-alpha, AKT(PKB), PDK (PDPK1), PKC-delta, c-Jun, IKK-beta, G-protein alpha-q, JNK(MAPK8-10), p38 MAPK",
558,Tissue Factor signaling in cancer via PAR1 and PAR2,49,2.346E-02,7.983E-02,2.346E-02,7.983E-02,15,"MEK1(MAP2K1), EGF, G-protein alpha-12 family, GRB2, H-Ras, ERK1/2, c-Raf-1, G-protein alpha-q/11, Coagulation factor VII, IP3 receptor, p70 S6 kinase1, PI3K reg class IA, Bcl-XL, AKT(PKB), Beta-arrestin1",3.893E-02,1.152E-01,17,"EGF, GRB2, H-Ras, ERK1/2, EGR1, G-protein alpha-q/11, Coagulation factor VII, PLC-beta1, IP3 receptor, PI3K reg class IA, Bcl-XL, AKT(PKB), G-protein alpha-12 family, c-Jun, p70 S6 kinase1, SHP-2, Beta-arrestin1",
559,Cytoskeleton remodeling_FAK signaling,57,2.346E-02,7.952E-02,4.291E-02,1.205E-01,16,"MEK1(MAP2K1), GRB2, H-Ras, ERK1/2, p190RhoGAP, c-Raf-1, PAK1, G-protein alpha-q/11, IP3 receptor, GRP-R, Calmodulin, PI3K reg class IA, PLC-beta, PTEN, FAK1, AKT(PKB)",2.346E-02,7.952E-02,20,"Cyclin D3, GRB2, H-Ras, ERK1/2, G-protein alpha-q/11, Rac1, IP3 receptor, GRP-R, PI3K reg class IA, PLC-beta, AKT(PKB), p190RhoGAP, PAK1, C3G, MKK7 (MAP2K7), Paxillin, Calmodulin, PTEN, MEKK1(MAP3K1), FAK1",
560,Immune response_Role of PKR in stress-induced antiviral cell response,57,2.346E-02,7.952E-02,1.387E-01,2.707E-01,14,"p38alpha (MAPK14), TRAF2, ERK1/2, TIRAP (Mal), NFKBIA, I-kB, TARBP2, IFN-alpha, IKK-beta, MEK6(MAP2K6), IL-1RI, JNK(MAPK8-10), IRF3, TAB2",2.346E-02,7.952E-02,20,"ERK1/2, IKK (cat), I-kB, MyD88, IKK-alpha, IFN-alpha, MEK6(MAP2K6), IL-1RI, TAB2, c-Myc, TRAF2, c-Jun, TIRAP (Mal), NFKBIA, Caspase-7, TARBP2, IKK-beta, JNK(MAPK8-10), IRF3, TRIF (TICAM1)",
561,IgE- and MGF-induced Lyn-mediated production of cytokines and arachidonic acid metabolites in lung mast cells in asthma,50,2.355E-02,7.960E-02,5.698E-02,1.450E-01,14,"Calcineurin A (catalytic), GRB2, K-RAS, ERK1/2, c-Raf-1, MGF, Btk, IP3 receptor, I-kB, cPLA2, MEK1/2, IL-4, AKT(PKB), p38 MAPK",2.355E-02,7.960E-02,18,"Calcineurin A (catalytic), GRB2, NF-AT1(NFATC2), ERK1/2, IL-3, IP3 receptor, I-kB, IKK-alpha, cPLA2, IL-13, IL-4, AKT(PKB), K-RAS, c-Jun, MGF, LAT, Btk, p38 MAPK",
562,HBV regulation of DNA repair and apoptosis leading to HCC,14,2.359E-02,7.960E-02,2.816E-02,8.970E-02,6,"MAZ, p21, DDB2, MDM2, AFP, SP1",2.359E-02,7.960E-02,7,"p21, MDM2, MAZ, DDB1, DDB2, SP1, XPD",
563,Transcription_Transcription factor Tubby signaling pathways,17,2.377E-02,7.967E-02,7.150E-02,1.715E-01,6,"Insulin processed, G-protein alpha-11, G-protein alpha-q/11, PKC, PLC-beta, Insulin receptor",2.377E-02,7.967E-02,8,"Insulin processed, G-protein alpha-q/11, PLC-beta, HTR2C (HTR1C), Insulin receptor, G-protein alpha-11, PKC, G-protein alpha-q",
564,Prolactin signaling in Prostate Cancer,33,2.392E-02,7.999E-02,3.904E-01,5.570E-01,7,"PIP, AATM, Prolactin receptor, Androgen receptor, AP-1, Bcl-XL, Cyclin D1",2.392E-02,7.999E-02,13,"PIP, c-Jun/c-Fos, Prolactin receptor, Androgen receptor, PDH, Bcl-XL, c-Jun, PDHA (somatic), AATM, AP-1, PDH alpha, ACON, Cyclin D1",
565,Aminoglycoside- and cisplatin-induced hair cell death,112,2.404E-02,8.021E-02,6.729E-02,1.651E-01,27,"SLC31A1, PRDX3, Calcineurin A (catalytic), Aif, c-Fos, SMPD3, H-Ras, ERK1/2, NF-AT3(NFATC4), p67-phox, Cytochrome c, TRPV1, Endonuclease G, AP-1, Sirtuin1, PKC, NOX3, Bcl-2, Bcl-XL, NOL3, JNK(MAPK8-10), STAT6, IL-4, NOX1, PUMA, p38 MAPK, Cathepsin D",2.404E-02,8.021E-02,35,"SLC31A1, PRDX3, Calcineurin A (catalytic), c-Fos, SMPD3, H-Ras, ERK1/2, NF-AT3(NFATC4), c-Jun/c-Fos, Cytochrome c, TRPV1, Endonuclease G, Rac1, NOX3, IL-13, Bcl-XL, FasL(TNFSF6), IL-4, NOX1, PUMA, Cathepsin D, PARP-1, Aif, c-Jun, KCNQ4, MKK7 (MAP2K7), AP-1, Sirtuin1, PKC, Bcl-2, ACON, NOL3, JNK(MAPK8-10), STAT6, p38 MAPK",
566,Differentiation of Th2 cells in asthma,45,2.444E-02,8.204E-02,2.444E-02,8.204E-02,14,"CCL22, CD80, MHC class II, CCL17, CCR2, CCR6, NFKBIA, PI3K reg class IA, CD3, CCR5, STAT6, IL-4, AKT(PKB), PDK (PDPK1)",6.973E-02,1.690E-01,15,"CCL22, MHC class II, CCL17, CCR2, PI3K reg class IA, IKK-alpha, CCR5, IL-4, AKT(PKB), PDK (PDPK1), CCR6, NFKBIA, CXCR3, STAT6, TCR alpha/beta",
567,HCV-dependent transcription regulation leading to HCC,21,2.511E-02,8.354E-02,2.511E-02,8.354E-02,8,"E2F1, p21, HSPA1A, STAT3, Rb protein, Bcl-XL, Cyclin D1, HSP70",1.833E-01,3.306E-01,7,"p21, Rb protein, Bcl-XL, HSP70, E2F1, HSPA1A, Cyclin D1",
568,Role of ZNF202 in regulation of expression of genes involved in atherosclerosis,21,2.511E-02,8.354E-02,2.511E-02,8.354E-02,8,"PU.1, SDP1, ABCG1, HDL proteins, CRABP2, TIF1-beta, IA-1, ZNF24 (ZNF191)",3.256E-02,9.954E-02,9,"SDP1, ABCG1, HDL proteins, CRABP2, TIF1-beta, PU.1, APOC3, IA-1, ZNF24 (ZNF191)",
569,Translation_(L)-selenoaminoacids incorporation in proteins during translation,41,2.532E-02,8.388E-02,2.532E-02,8.388E-02,13,"GPX2, Selenoprotein W, SLA/LP, Selenoprotein O, SEPX1 (Selenoprotein X1), SBP2, SELB, DIO1, RPL30, Selenoprotein P, GPX4, TXNRD2, SEPHS2",6.522E-02,1.617E-01,14,"GPX3, GPX2, Selenoprotein W, SEPHS2, SLA/LP, Selenoprotein O, SEPX1 (Selenoprotein X1), SBP2, SELB, DIO1, RPL30, Selenoprotein P, GPX4, TXNRD2",
570,Apoptosis and survival_Ceramides signaling pathway,40,2.547E-02,8.368E-02,4.659E-02,1.282E-01,12,"MEK1(MAP2K1), H-Ras, ERK1/2, c-Raf-1, TRADD, Cytochrome c, FADD, PI3K reg class IA (p85), Neutral sphingomyelinase, Bcl-2, AKT(PKB), Cathepsin D",2.547E-02,8.368E-02,15,"H-Ras, ERK1/2, PKC-zeta, TRADD, Cytochrome c, FADD, BAD, PI3K reg class IA (p85), Neutral sphingomyelinase, FasL(TNFSF6), AKT(PKB), Cathepsin D, c-Jun, MEKK1(MAP3K1), Bcl-2",
571,Transcription_Role of heterochromatin protein 1 (HP1) family in transcriptional silencing,40,2.547E-02,8.368E-02,9.521E-02,2.064E-01,11,"SETDB1, E2F1, DNMT3A, MEF2, HP1 beta, E2I, HP1, MYOG, TIF1-beta, Rb protein, MYOD",2.547E-02,8.368E-02,15,"E2I, HP1, MYOG, TIF1-beta, Rb protein, CtBP, Suv39H1, Mi-2, SETDB1, E2F1, DNMT3A, MEF2, HP1 beta, MBD3, MYOD",
572,Development_SLIT-ROBO1 signaling,40,2.547E-02,8.368E-02,4.659E-02,1.282E-01,12,"Calcineurin A (catalytic), PAK2, p190RhoGAP, Myosin II, PI3K reg class IA (p85), Calmodulin, FLII, SLIT1, ARF6, WASP, AKT(PKB), PREX1",2.547E-02,8.368E-02,15,"Calcineurin A (catalytic), PAK2, Rac1, PI3K reg class IA (p85), ARF6, WASP, AKT(PKB), Endophilin A2, p190RhoGAP, Myosin II, Calmodulin, FLII, SLIT1, Cofilin, PREX1",
573,Development_WNT/Beta-catenin and NOTCH in induction of osteogenesis,40,2.547E-02,8.368E-02,4.426E-01,6.061E-01,8,"A-FABP, Adiponectin, Dsh, DLL1, WNT, Bone sialoprotein, Axin, C/EBPalpha",2.547E-02,8.368E-02,15,"WNT3A, Dsh, DLL1, Bone sialoprotein, LRP5, Axin, HEY1, Adiponectin, MAML1, WNT1, WNT, WNT10B, SMAD1, Frizzled, C/EBPalpha",
574,CHDI_Correlations from Replication data_Causal network (negative correlations),40,2.547E-02,8.368E-02,4.426E-01,6.061E-01,8,"Huntingtin, Dsh, ILK, PKC, WNT, AKT(PKB), SP1, Axin",2.547E-02,8.368E-02,15,"Huntingtin, Dsh, PLC-beta1, Plasminogen, LRP5, CtBP, AKT(PKB), Axin, Plasmin, ILK, PKC, WNT, G-protein alpha-q, SP1, Frizzled",
575,NRF2 regulation of oxidative stress response,54,2.601E-02,8.416E-02,5.319E-02,1.407E-01,15,"MEK1(MAP2K1), GPX2, GSHB, eIF2AK3, c-Raf-1, GSTM3, Ubiquitin, PKC, PI3K reg class IA, RARalpha, AKT(PKB), GSTA3, PDK (PDPK1), NQO1, ERK1 (MAPK3)",2.601E-02,8.416E-02,19,"GPX2, GSHB, GSTM3, Ubiquitin, SOD1, PI3K reg class IA, RARalpha, MafK, AKT(PKB), GSTA3, PDK (PDPK1), ERK1 (MAPK3), Thioredoxin, eIF2AK3, DJ-1, PRDX1, PKC, GSTA1, NQO1",
576,Development_WNT/Beta-catenin signaling in organogenesis,30,2.603E-02,8.416E-02,2.947E-01,4.507E-01,7,"FoxN1, PLP1, MEPE, WNT, FGF10, Fam132a, MESP1",2.603E-02,8.416E-02,12,"FoxN1, Lef-1, PLP1, MEPE, FGF10, MESP1, PROP1, Tcf(Lef), FAM19A5, PIT1, WNT, Frizzled",
577,Colorectal cancer (general schema),30,2.603E-02,8.416E-02,3.368E-02,1.021E-01,10,"EGF, gp130, SHH, IL8RA, DLL1, WNT, IGF-1 receptor, IGF-1, Leptin, IL8RB",2.603E-02,8.416E-02,12,"EGF, gp130, DLL1, IGF-1 receptor, IL8RB, SHH, IL8RA, WNT, IGF-1, Leptin, Ephrin-B receptors, Frizzled",
578,G-protein signaling_RAC1 in cellular process,37,2.605E-02,8.495E-02,2.605E-02,8.495E-02,12,"BAIAP2, PAK2, PAK3, POR1, PAK1, p67-phox, PIP5KI, DMPK, CYFIP2, DBS, JNK(MAPK8-10), PARD6",6.013E-02,1.529E-01,13,"BAIAP2, PAK2, PAK3, PKC-zeta, Rac1, CYFIP2, DBS, PARD6, POR1, PAK1, PIP5KI, DMPK, JNK(MAPK8-10)",
579,Deregulation of PSD-95-dependent signaling in Huntington's disease,37,2.605E-02,8.495E-02,2.605E-02,8.495E-02,12,"p38alpha (MAPK14), Huntingtin, H-Ras, NR1, ERK1/2, c-Raf-1, SynGAP, p90Rsk, MEK6(MAP2K6), MEK1/2, p38 MAPK, ERK1 (MAPK3)",2.053E-01,3.573E-01,11,"Huntingtin, H-Ras, NR1, ERK1/2, NMDA receptor, NR2, MEK6(MAP2K6), ERK1 (MAPK3), SynGAP, NR2D, p38 MAPK",
580,Development_Delta-type opioid receptor mediated cardioprotection,37,2.605E-02,8.495E-02,2.605E-02,8.495E-02,12,"MEK1(MAP2K1), AKT1, G-protein alpha-i family, Kir6.1, c-Raf-1, Kir6.2, STAT3, PI3K reg class IA, SUR2, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3)",2.053E-01,3.573E-01,11,"AKT1, Kir6.2, PI3K reg class IA, SUR2, AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), Delta-type opioid receptor, PKC-delta, G-protein alpha-i family, Kir6.1",
581,Signal transduction_JNK pathway,47,2.606E-02,8.416E-02,1.309E-01,2.584E-01,12,"JunD/c-Fos, GRB2, TRAF2, LZK(MAP3K13), MLK2(MAP3K10), H-Ras, c-Raf-1, TRADD, AP-1, JunD, JNK(MAPK8-10), ZPK(MAP3K12)",2.606E-02,8.416E-02,17,"GRB2, LZK(MAP3K13), H-Ras, TRADD, Rac1, JunD, FasL(TNFSF6), ZPK(MAP3K12), MEKK4(MAP3K4), JunD/c-Fos, TRAF2, MLK2(MAP3K10), c-Jun, MKK7 (MAP2K7), AP-1, MEKK1(MAP3K1), JNK(MAPK8-10)",
582,HBV-dependent transcription regulation leading to HCC,25,2.627E-02,8.495E-02,2.627E-02,8.495E-02,9,"LXR-alpha/RXR-alpha, ESR1 (nuclear), SCD, FASN, EGR3, SREBP1 precursor, NUR77, LXR-alpha, Cyclin D1",9.469E-02,2.091E-01,9,"ESR1 (nuclear), SCD, EGR1, FASN, SREBP1 precursor, FasL(TNFSF6), EGR3, NUR77, Cyclin D1",
583,G-protein signaling_K-RAS regulation pathway,25,2.627E-02,8.495E-02,2.627E-02,8.495E-02,9,"EGF, GRB2, K-RAS, c-Raf-1, RalGDS, Epo receptor, CalDAG-GEFII, RGL2, Epo",4.063E-02,1.189E-01,10,"EGF, GRB2, A-Raf-1, CalDAG-GEFII, Epo, CALDAG-GEFI, K-RAS, RalGDS, Epo receptor, RGL2",
584,Putative pathways of hormone action in neurofibromatosis type 1,25,2.627E-02,8.495E-02,2.627E-02,8.495E-02,9,"ESR1 (nuclear), K-RAS, ESR1 (membrane), EGR3, GHR, PR (nuclear), PI3K reg class IA (p85), PI3K reg class IA, FosB",4.063E-02,1.189E-01,10,"ESR1 (nuclear), ESR1 (membrane), EGR1, PR (nuclear), PI3K reg class IA (p85), PI3K reg class IA, K-RAS, EGR3, GHR, FosB",
585,Resolution of inflammation in healing myocardial infarction,25,2.627E-02,8.495E-02,2.627E-02,8.495E-02,9,"MMP-1, ERK1/2, MGF, STAT3, G-CSF receptor, AKT(PKB), G-CSF, SDF-1, E-selectin",1.917E-01,3.400E-01,8,"ERK1/2, G-CSF receptor, AKT(PKB), SDF-1, E-selectin, MMP-1, MGF, G-CSF",
586,Deficient alpha-MSH signaling in melanoma,33,2.653E-02,8.548E-02,2.653E-02,8.548E-02,11,"p38alpha (MAPK14), ERK1/2, PKA-reg (cAMP-dependent), c-Raf-1, TYRP1, Rb protein, PI3K reg class IA, MEK1/2, AKT(PKB), PDK (PDPK1), p38 MAPK",3.312E-01,5.012E-01,9,"ERK1/2, PKA-reg (cAMP-dependent), Rac1, Rb protein, PI3K reg class IA, AKT(PKB), PDK (PDPK1), TYRP1, p38 MAPK",
587,Role of Neuregulin 1 and Thymosin beta-4 in myocardium regeneration after infarction,29,2.666E-02,8.548E-02,2.666E-02,8.548E-02,10,"GRB2, GAB1, Neuregulin 1, Thymosin beta-4, ILK, PI3K reg class IA (p85), ErbB2, ANP, PTEN, AKT(PKB)",1.035E-01,2.229E-01,10,"GRB2, GAB1, PI3K reg class IA (p85), ACTA1, ErbB2, ANP, AKT(PKB), Thymosin beta-4, ILK, PTEN",
588,Muscle contraction_Regulation of eNOS activity in endothelial cells,65,2.749E-02,8.819E-02,3.757E-02,1.109E-01,18,"NOSIP, G-protein alpha-i family, Esrra, KLF2, BDKRB2, ESR2 (nuclear), GATA-2, IP3 receptor, AP-1, Sirtuin1, Calmodulin, PI3K reg class IA, PLC-beta, eNOS, AKT(PKB), SP1, HSP90, FosB",2.749E-02,8.819E-02,22,"Esrra, KLF2, BDKRB2, ESR2 (nuclear), IP3 receptor, PI3K reg class IA, PLC-beta, AKT(PKB), HSP90, ARNT, NOSIP, G-protein alpha-i family, c-Jun, GATA-2, Bradykinin, AP-1, Sirtuin1, Calmodulin, eNOS, G-protein alpha-q, SP1, FosB",
589,Neurophysiological process_Constitutive and regulated NMDA receptor trafficking,65,2.749E-02,8.819E-02,3.757E-02,1.109E-01,18,"Chapsyn-110, Dopamine D1A receptor, cPKC (conventional), Calcineurin A (catalytic), SNAP-25, PP1-cat, G-protein alpha-i family, NR1, PKA-reg (cAMP-dependent), IP3 receptor, G-protein alpha-s, Calmodulin, PKC, SAP102, PLC-beta, Adenylate cyclase, MALS, MIB2",2.749E-02,8.819E-02,22,"Chapsyn-110, Calcineurin A (catalytic), PP1-cat, NR1, PKA-reg (cAMP-dependent), Syntaxin 1A, IP3 receptor, NMDA receptor, PLC-beta, NR2, Adenylate cyclase, MALS, MIB2, Dopamine D1A receptor, cPKC (conventional), G-protein alpha-i family, G-protein alpha-s, Calmodulin, PKC, SAP102, G-protein alpha-q, STEP",
590,Cell adhesion_Role of tetraspanins in the integrin-mediated cell adhesion,37,2.805E-02,8.938E-02,2.165E-01,3.626E-01,9,"CD81, PAK1, CD9, CD63, VIL2 (ezrin), FAK1, CD151, WASP, NAG-2",2.805E-02,8.938E-02,14,"CD81, Actin, Rac1, VIL2 (ezrin), CD151, WASP, NAG-2, CD82, PAK1, CD9, CD63, N-WASP, FAK1, Cofilin",
591,Immune response_Regulation of T cell function by CTLA-4,37,2.805E-02,8.938E-02,1.191E-01,2.445E-01,10,"CD80, GRB2, c-Fos, H-Ras, AP1G1, PI3K reg class IA (p85), CD3, SHP-1, AKT(PKB), PDK (PDPK1)",2.805E-02,8.938E-02,14,"GRB2, c-Fos, NF-AT1(NFATC2), H-Ras, AP1G1, PI3K reg class IA (p85), ZAP70, SHP-1, AKT(PKB), PDK (PDPK1), c-Jun, LAT, SHP-2, TCR alpha/beta",
592,Activation of osteoclast differentiation in bone lesions formation in multiple myeloma,27,2.822E-02,8.938E-02,4.290E-02,1.205E-01,9,"MEK1(MAP2K1), Syndecan-1, c-Fos, ERK1/2, CCR1, NFKBIA, IKK-beta, CCR5, p38 MAPK",2.822E-02,8.938E-02,11,"c-Fos, ERK1/2, CCR1, IKK (cat), IL-3, IKK-alpha, CCR5, Syndecan-1, NFKBIA, IKK-beta, p38 MAPK",
593,Translation_Regulation of translation initiation,27,2.822E-02,8.938E-02,4.290E-02,1.205E-01,9,"eIF6 (ITGB4BP), eIF1, eIF3S3, eIF1A, p70 S6 kinase1, eIF3S8, eIF4A, PDK (PDPK1), p70 S6 kinase2",2.822E-02,8.938E-02,11,"eIF6 (ITGB4BP), eIF4E, eIF3S3, eIF1A, PDK (PDPK1), eIF1, p70 S6 kinase1, eIF3S8, eIF4A, eIF5, p70 S6 kinase2",
594,Role of B cells in SLE,58,2.834E-02,8.938E-02,9.070E-02,2.014E-01,15,"CD80, MHC class II, ICOS-L, CD19, Btk, PI3K reg class IA, IFN-alpha, Bcl-2, Bcl-XL, Fc gamma RII beta, SHP-1, CD40(TNFRSF5), AKT(PKB), IL-6 receptor, CD40L(TNFSF5)",2.834E-02,8.938E-02,20,"MHC class II, ICOS-L, Bak, CD19, PI3K reg class IA, IFN-alpha, Bcl-XL, CD22, SHP-1, SHIP, AKT(PKB), ICOS, CD79 complex, Btk, Bcl-2, Fc gamma RII beta, CD40(TNFRSF5), miR-30a-5p, TCR alpha/beta, IL-6 receptor",
