Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
560,HBV-dependent NF-kB and PI3K/AKT pathways leading to HCC,50,3.426E-02,8.608E-02,3.426E-02,8.608E-02,9,"PI3K cat class IA, iNOS, PKC-alpha, A2M, Cyclin E, AKT(PKB), c-Src, MMP-9, PLAU (UPA)",
561,Immune response_IL-15 signaling,58,3.463E-02,8.670E-02,3.463E-02,8.670E-02,10,"IL-15, PI3K cat class IA, IL-15RA, UFO, IL-8, ETS1, IL-6, sIL-15RA, AKT(PKB), c-Src",
562,"Immune response_TLR5, TLR7, TLR8 and TLR9 signaling pathways",58,3.463E-02,8.670E-02,3.463E-02,8.670E-02,10,"IL-1 beta, PI3K cat class IA, IFN-alpha, IL-8, IRAK2, IL-6, TLR7, AKT(PKB), IFN-beta, TNF-alpha",
563,Neurophysiological process_Ephrin-B receptors in dendritic spine morphogenesis and synaptogenesis,35,3.531E-02,8.823E-02,3.531E-02,8.823E-02,7,"GABA-A receptor, Ephrin-B receptor 2, Actin cytoskeletal, Fyn, Ephrin-B receptors, SHANK, Syndecan-2",
564,Main chemotherapy drugs and their action in SCLC cells,100,3.594E-02,8.967E-02,3.594E-02,8.967E-02,15,"CCL2, PKC-alpha, RANKL(TNFSF11), IL-8, Cyclin E, EGFR, Cyclin A, Apo-2L(TNFSF10), AKT(PKB), Caveolin-1, c-Src, PLAU (UPA), MDR1, RANK(TNFRSF11A), TNF-alpha",
565,Development_Generation of pancreatic beta-cells from embryonic stem cells (early stages),21,3.648E-02,9.069E-02,3.648E-02,9.069E-02,5,"Activin A, Oct-3/4, SOX17, HNF4-alpha, HNF3-beta",
566,Role of ZNF202 in regulation of expression of genes involved in atherosclerosis,21,3.648E-02,9.069E-02,3.648E-02,9.069E-02,5,"APOA4, Beta-3 adrenergic receptor, HDL proteins, HNF4-alpha, LPL",
567,Immune response_Innate immune response to RNA viral infection,28,3.678E-02,9.110E-02,3.678E-02,9.110E-02,6,"Caspase-10, IFN-alpha, IL-8, TLR7, TLR3, IFN-beta",
568,Regulation of Beta-catenin activity  in melanoma,28,3.678E-02,9.110E-02,3.678E-02,9.110E-02,6,"Osteopontin, WISP1, MMP-2, AKT(PKB), p16INK4, MMP-9",
569,Regulation of proinflammatory cytokine production by Th2 cells in asthma,43,3.748E-02,9.219E-02,3.748E-02,9.219E-02,8,"IL-15, MHC class II, CD3, IL-33, STAT5, TSLP, TNF-alpha, TSLPR",
570,ESR1 (membrane) 36 kDa isoform signaling in breast cancer,43,3.748E-02,9.219E-02,3.748E-02,9.219E-02,8,"STAT5A, PI3K cat class IA, PKC-alpha, RANKL(TNFSF11), EGFR, AL1A1, AKT(PKB), c-Src",
571,Development_S1P3 receptor signaling pathway,43,3.748E-02,9.219E-02,3.748E-02,9.219E-02,8,"PI3K cat class IA, CD44, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PDGF receptor, PI3K reg class IB (p101), c-Src",
572,Regulation of immune cell differentiation by Notch signaling,43,3.748E-02,9.219E-02,3.748E-02,9.219E-02,8,"NOTCH4 (ICD4), PI3K cat class IA, IFI16, T-bet, NOTCH4, AKT(PKB), Jagged1, ADAM19",
573,Immune response_Antigen presentation by MHC class II,118,3.769E-02,9.256E-02,3.769E-02,9.256E-02,17,"MHC class II alpha chain, Syk, Dectin-1, MHC class II, PI3K cat class IA, Langerin, PKC, PKC-alpha, TLR4, LY75, MHC class II beta chain, ARL14, Dynein 1, cytoplasmic, intermediate chains, Cathepsin S, Cathepsin V, TAP, TLR2",
574,Ligand-independent activation of Androgen receptor in Prostate Cancer,67,3.793E-02,9.297E-02,3.793E-02,9.297E-02,11,"STAT5A, PI3K cat class IA, B-Raf, Tcf(Lef), EGFR, FGF1, FGF2, AKT(PKB), Frizzled, Prolactin, IBP3",
575,Neurophysiological process_GABAergic neurotransmission,51,3.838E-02,9.357E-02,3.838E-02,9.357E-02,9,"SLC32A1, GABA-A receptor, GAD2, GLSK, G-protein alpha-i family, ALDR, GAD1, GAT1, SLC7A7",
576,Signal transduction_NF-kB activation pathways,51,3.838E-02,9.357E-02,3.838E-02,9.357E-02,9,"IL-1 beta, c-IAP2, IL-1 alpha, Pellino 1, Pellino 2, TLR4, IRAK2, TLR2, TNF-alpha",
577,Neurophysiological process_Constitutive and activity-dependent synaptic AMPA receptor delivery,59,3.844E-02,9.357E-02,3.844E-02,9.357E-02,10,"Neuroligin 1, PKC, PKC-alpha, Dynamin-3, GluR1, Actin cytoskeletal, Complexin, nNOS, SHANK, DLGAP1 (GKAP)",
578,Inhibition of apoptosis in pancreatic cancer,59,3.844E-02,9.357E-02,3.844E-02,9.357E-02,10,"COX-2 (PTGS2), PI3K cat class IA, PKR2, EGFR, G-protein alpha-i family, Neuropilin-1, IL-6, Mucin 4, STAT5, AKT(PKB)",
579,Immune response_B cell antigen receptor (BCR) pathway,110,3.975E-02,9.659E-02,3.975E-02,9.659E-02,16,"Syk, VCAM1, B-Raf, CalDAG-GEFIII, alpha-4/beta-1 integrin, CKLFSF7, ICAM1, ETS1, Lyn, CIN85, Actin cytoskeletal, AKT(PKB), Fibronectin, PI3K cat class IA (p110-delta), CARD11, CDK6",
580,Development_Positive regulation of WNT/Beta-catenin signaling in the cytoplasm,76,4.050E-02,9.712E-02,4.050E-02,9.712E-02,12,"COX-2 (PTGS2), ITGB1, IRS-2, NKD1, Tcf(Lef), WNT, RIPK4, AKT(PKB), NKD2, Axin, Frizzled, DACT1",
581,Gamma-secretase proteolytic targets,76,4.050E-02,9.712E-02,4.050E-02,9.712E-02,12,"NOTCH4 (ICD4), N-cadherin, NGFR (ICD), NGFR(TNFRSF16), NGFR (CTF), CD44, CD44 soluble, CD44 (EXT), NOTCH4, N-cadherin (CTF1), N-cadherin (CTF2), CD44 (ICD)",
582,Development_Beta adrenergic receptors in brown adipocyte differentiation,36,4.052E-02,9.712E-02,4.052E-02,9.712E-02,7,"EGR2 (Krox20), Beta-3 adrenergic receptor, Adenylate cyclase, FOXC2, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor, LPL",
583,IGF-1 signaling in pancreatic cancer,36,4.052E-02,9.712E-02,4.052E-02,9.712E-02,7,"COX-2 (PTGS2), PI3K cat class IA, NUAK1, IRS-2, MMP-14, MMP-2, MMP-9",
584,Cigarette smoke components TCDD and Benzo[a]pyrene and receptor AHR signaling in lung epithelial cells,36,4.052E-02,9.712E-02,4.052E-02,9.712E-02,7,"COX-2 (PTGS2), IL-1 beta, CYP1A1, CCL2, TGF-beta receptor type II, TGF-alpha, TNF-alpha",
585,Inhibition of apoptosis in multiple myeloma,36,4.052E-02,9.712E-02,4.052E-02,9.712E-02,7,"c-IAP2, TLR4, FasR(CD95), IL-6, FasL(TNFSF6), Apo-2L(TNFSF10), Jagged1",
586,Development_SSTR2 in regulation of cell proliferation,36,4.052E-02,9.712E-02,4.052E-02,9.712E-02,7,"PI3K cat class IA, B-Raf, Cyclin E, G-protein alpha-i family, AKT(PKB), c-Src, nNOS",
587,"Development_Lipoxin inhibitory action on PDGF, EGF and LTD4 signaling",36,4.052E-02,9.712E-02,4.052E-02,9.712E-02,7,"FPRL1, EGFR, G-protein alpha-i family, Adenylate cyclase, G-protein alpha-q/11, c-Src, PDGF-R-beta",
588,Development_VEGF signaling via VEGFR2 - generic cascades,93,4.067E-02,9.731E-02,4.067E-02,9.731E-02,14,"COX-2 (PTGS2), PI3K cat class IA, iNOS, PKC, CCL2, PKC-alpha, PLAUR (uPAR), Actin cytoskeletal, Fyn, AKT(PKB), c-Src, TSAD, PLAU (UPA), MLCK",
589,IGF signaling in lung cancer,44,4.230E-02,1.005E-01,4.230E-02,1.005E-01,8,"PI3K cat class IA, IRS-2, MMP-2, AKT(PKB), MMP-9, IBP, PLAU (UPA), IBP3",
590,"Development_Activation of Erk by ACM1, ACM3 and ACM5",44,4.230E-02,1.005E-01,4.230E-02,1.005E-01,8,"B-Raf, PKC-alpha, cPLA2, EGFR, Cyr61, TGF-alpha, c-Src, ACM3",
591,Influence of smoking on activation of EGFR signaling in lung cancer cells,44,4.230E-02,1.005E-01,4.230E-02,1.005E-01,8,"B-Raf, Fra-1, Epiregulin, EGFR, Adenylate cyclase, MMP-2, c-Src, MMP-9",
592,Development_S1P1 signaling pathway,44,4.230E-02,1.005E-01,4.230E-02,1.005E-01,8,"CD69, G-protein alpha-i1, S1P1 receptor, CD44, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), c-Src",
593,Development_FGF-family signaling,52,4.282E-02,1.007E-01,4.282E-02,1.007E-01,9,"PI3K cat class IA, FGF3, PKC-alpha, FGF1, FGF2, AKT(PKB), FGF8, FGF9, FGF19",
594,Signal transduction_Additional pathways of NF-kB activation (in the cytoplasm),52,4.282E-02,1.007E-01,4.282E-02,1.007E-01,9,"PI3K cat class IA, PKC-theta, PKC-alpha, Adenylate cyclase, AKT(PKB), PI3K reg class IB (p101), c-Src, Pim-1, CDK6",
595,Glucagon-induced glucose upregulation in type 2 diabetes in liver ,52,4.282E-02,1.007E-01,4.282E-02,1.007E-01,9,"PPCKC, Glucagon, iNOS, GYS2, G-protein alpha-i family, Adenylate cyclase, PPARGC1 (PGC1-alpha), G-protein alpha-q/11, HNF4-alpha",
596,Signal transduction_Adenosine A2A receptor signaling pathway,52,4.282E-02,1.007E-01,4.282E-02,1.007E-01,9,"TrkA, Osteopontin, Adenylate cyclase, AKT(PKB), TrkB, SFK, c-Src, G-protein alpha-olf, Collagen III",
597,Immune response_T cell subsets: cell surface markers,52,4.282E-02,1.007E-01,4.282E-02,1.007E-01,9,"IL-15RA, IL7RA, TCR beta subunit, CD44, CD3, CTLA-4, CD94, IL-2R alpha chain, IL-12RB2",
598,Pro-oncogenic action of PTHrP in breast cancer,29,4.294E-02,1.007E-01,4.294E-02,1.007E-01,6,"ITGB1, MMP-13, PKC-alpha, PTHrP, G-protein alpha-q/11, ITGA5",
599,Suppression of TGF-beta signaling in pancreatic cancer,29,4.294E-02,1.007E-01,4.294E-02,1.007E-01,6,"Biglycan, ETS1, TGF-beta receptor type II, p15, MMP-9, PLAU (UPA)",
600,Abnormalities in cell cycle in SCLC,29,4.294E-02,1.007E-01,4.294E-02,1.007E-01,6,"p14ARF, Cyclin E, p15, Cyclin A, p16INK4, CDK6",
601,Chemotaxis_Lysophosphatidic acid signaling via GPCRs,129,4.361E-02,1.017E-01,4.361E-02,1.017E-01,18,"cPKC (conventional), PAK, PKC, Tcf(Lef), IL-8, EGFR, G-protein alpha-i family, F-Actin cytoskeleton, FasR(CD95), Cyr61, Rho GTPase, Actin cytoskeletal, TAZ, CTGF, AKT(PKB), G-protein alpha-q/11, c-Src, Cofilin",
602,PXR signaling via cross-talk / Rodent version,22,4.380E-02,1.017E-01,4.380E-02,1.017E-01,5,"PPCKC, PPARGC1 (PGC1-alpha), CYP7A1, HNF4-alpha, HNF3-beta",
603,Differences between Langerhans cells and dermal dendritic cells in allergic contact dermatitis,22,4.380E-02,1.017E-01,4.380E-02,1.017E-01,5,"MHC class II, PD-1, ICOS, PD-L1, TNF-alpha",
604,Immune response_Oncostatin M signaling via JAK-Stat,22,4.380E-02,1.017E-01,4.380E-02,1.017E-01,5,"CCL2, ACTA2, STAT5, OSMR, Eotaxin",
605,PXR signaling via cross-talk / Human Version,22,4.380E-02,1.017E-01,4.380E-02,1.017E-01,5,"PPCKC, PPARGC1 (PGC1-alpha), CYP7A1, HNF4-alpha, HNF3-beta",
606,Development_H3K9 demethylases in pluripotency maintenance of stem cells,22,4.380E-02,1.017E-01,4.380E-02,1.017E-01,5,"Oct-3/4, CDX2, MSX1, AKT(PKB), LBP9",
607,Apoptosis and survival_NGF/ TrkA PI3K-mediated signaling,77,4.418E-02,1.024E-01,4.418E-02,1.024E-01,12,"NGF, TrkA, PI3K cat class IA, MSN (moesin), CLCN4, MRLC, Myosin II, Actin cytoskeletal, AKT(PKB), c-Src, ARAP3, Cofilin",
608,Immune response_OX40L/ OX40 signaling pathway,69,4.569E-02,1.057E-01,4.569E-02,1.057E-01,11,"PI3K cat class IA, PKC-theta, CD3, T-bet, BFL1, OX40(TNFRSF4), AKT(PKB), IL-2R alpha chain, Perforin, IL-12RB2, CARD11",
609,Down-regulation of mast cell functions through ITIM-containing inhibitory receptors in asthma,37,4.621E-02,1.064E-01,4.621E-02,1.064E-01,7,"Syk, SHPS-1, CCL2, LAIR1, Lyn, Fyn, CD200 (OX-2)",
610,A shift in alveolar macrophage phenotype in COPD,37,4.621E-02,1.064E-01,4.621E-02,1.064E-01,7,"MHC class II, iNOS, CD44, MMP-2, Matrilysin (MMP-7), AKT(PKB), MARCO",
611,Development_Delta-type opioid receptor mediated cardioprotection,37,4.621E-02,1.064E-01,4.621E-02,1.064E-01,7,"PI3K cat class IA, Metenkefalin, ADAM12, EGFR, G-protein alpha-i family, AKT(PKB), c-Src",
612,Dysregulation of direct glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes  ,53,4.760E-02,1.091E-01,4.760E-02,1.091E-01,9,"Glucagon, Kv2.2, iNOS, P/Q-type calcium channel alpha-1A subunit, CDX2, CACNA1E, NeuroD1, Proglucagon, PAX6",
613,Non-genomic signaling of ESR2 (membrane) in lung cancer cells,53,4.760E-02,1.091E-01,4.760E-02,1.091E-01,9,"nAChR alpha-7, PI3K cat class IA, EGFR, G-protein alpha-i family, Adenylate cyclase, TGF-alpha, AKT(PKB), Caveolin-1, c-Src",
614,TLRs-mediated IFN-alpha production by plasmacytoid dendritic cells in SLE,53,4.760E-02,1.091E-01,4.760E-02,1.091E-01,9,"IFN-alpha, IRAK2, TLR7, AKT(PKB), Fc gamma RII alpha, Alpha-defensin, A20, Pim-1, PI3K cat class IA (p110-delta)",
615,Signal transduction_Angiotensin II/ AGTR1 signaling via RhoA and JNK,78,4.808E-02,1.100E-01,4.808E-02,1.100E-01,12,"RECK, CCL2, TLR4, MRLC, MMP-2, CTGF, G-protein alpha-q/11, Angiotensin II, c-Src, MMP-9, MLCK, Collagen III",
616,Gamma-secretase regulation of angiogenesis,30,4.971E-02,1.130E-01,4.971E-02,1.130E-01,6,"NOTCH4 (ICD4), HEY1, Ephrin-B receptor 2, Angiopoietin 1, NOTCH4, c-Src",
617,Development_Osteopontin signaling in osteoclasts,30,4.971E-02,1.130E-01,4.971E-02,1.130E-01,6,"Syk, Osteopontin, CD44, MSN (moesin), Actin cytoskeletal, c-Src",
618,T regulatory cells in asthma,30,4.971E-02,1.130E-01,4.971E-02,1.130E-01,6,"MHC class II, CD3, TGF-beta receptor type II, PD-1, CTLA-4, ICOS",
619,Role of prenatal nicotine exposure in apoptosis and proliferation of pancreatic beta cells,30,4.971E-02,1.130E-01,4.971E-02,1.130E-01,6,"nAChR alpha-7, nAChR alpha-3, FasR(CD95), FasL(TNFSF6), nAChR beta-2, nAChR alpha-6",
620,Cytoskeleton remodeling_Substance P mediated membrane blebbing,16,5.090E-02,1.155E-01,5.090E-02,1.155E-01,4,"MRLC, Myosin II, Dynamin, MLCK",
621,Noise-induced hair cell death and spiral ganglion neuron degeneration,96,5.110E-02,1.158E-01,5.110E-02,1.158E-01,14,"COX-2 (PTGS2), IL-1 beta, TrkA, iNOS, CCL2, ERM proteins, F-Actin cytoskeleton, FasR(CD95), IL-6, TrkB, c-Src, Actin, NT-3, TNF-alpha",
622,Stem cells_MMP-14-induced COX-2 expression in glioblastoma stem cells,23,5.193E-02,1.166E-01,5.193E-02,1.166E-01,5,"COX-2 (PTGS2), cPLA2, MMP-14, MMP-2, AKT(PKB)",
623,Apoptosis and survival_Beta-2 adrenergic receptor anti-apoptotic action,23,5.193E-02,1.166E-01,5.193E-02,1.166E-01,5,"G-protein alpha-i family, Beta-2 adrenergic receptor, AKT(PKB), PI3K reg class IB (p101), Adenylate cyclase type VII",
624,FGF signaling in gastric cancer,23,5.193E-02,1.166E-01,5.193E-02,1.166E-01,5,"FGF1, FGF2, c-Src, MMP-9, PLAU (UPA)",
625,Development_Delta- and kappa-type opioid receptors signaling via beta-arrestin,23,5.193E-02,1.166E-01,5.193E-02,1.166E-01,5,"Metenkefalin, PKC, G-protein alpha-i family, Leu-enkephalin, Kappa-type opioid receptor",
626,Development_Thrombopoietin signaling via JAK-STAT pathway,23,5.193E-02,1.166E-01,5.193E-02,1.166E-01,5,"TAP1 (PSF1), STAT5A, STAT5, PAR1, Pim-1",
627,Neurogenesis_NGF/ TrkA MAPK-mediated signaling,105,5.194E-02,1.166E-01,5.194E-02,1.166E-01,15,"NGF, SHPS-1, TrkA, B-Raf, Fra-1, MEF2C, PLAUR (uPAR), SGK1, M-Ras, RASGRF1, SORBS1, RGS2, VGF, c-Src, Ephrin-A receptor 2",
628,Development_Gastrin in differentiation of the gastric mucosa,38,5.239E-02,1.170E-01,5.239E-02,1.170E-01,7,"cPKC (conventional), PKC-theta, PKC, PKC-alpha, G-protein alpha-q/11, ICRF, c-Src",
629,Cell cycle_Regulation of G1/S transition (part 1),38,5.239E-02,1.170E-01,5.239E-02,1.170E-01,7,"TGF-beta 2, Cyclin E, TGF-beta receptor type II, p15, Cyclin A, p16INK4, CDK6",
630,Insulin-like growth factor family signaling in melanoma,38,5.239E-02,1.170E-01,5.239E-02,1.170E-01,7,"PI3K cat class IA, PKC, IL-8, Cyclin E, Cyclin A, AKT(PKB), IBP3",
631,Neurophysiological process_Dynein-dynactin motor complex in axonal transport in neurons,54,5.272E-02,1.174E-01,5.272E-02,1.174E-01,9,"NGF, TrkA, PRNP, AKT(PKB), TrkB, Dynein 1, cytoplasmic, intermediate chains, DYNC1I1, Vimentin, NT-3",
632,Immune response_IFN-gamma actions on extracellular matrix and cell differentiation,54,5.272E-02,1.174E-01,5.272E-02,1.174E-01,9,"ACTA1, iNOS, IP10, ICAM1, ACTA2, MYLPF, COL1A2, MMP-9, RANK(TNFRSF11A)",
633,Cell adhesion_Role of CDK5 in cell adhesion,10,5.524E-02,1.228E-01,5.524E-02,1.228E-01,3,"ITGB1, Tcf(Lef), c-Src",
634,Development_FGF and BMP signaling in early embryonic hepatogenesis,31,5.709E-02,1.263E-01,5.709E-02,1.263E-01,6,"BMP4, FGF1, FGF2, HNF4-alpha, HNF3-beta, BMP2",
635,Mechanisms of K-RAS addiction in lung cancer cells,31,5.709E-02,1.263E-01,5.709E-02,1.263E-01,6,"Syk, IL-8, AKT(PKB), Stk33, Vimentin, TCF8",
636,Immune response_IL-23 signaling pathway,31,5.709E-02,1.263E-01,5.709E-02,1.263E-01,6,"PI3K cat class IA, STAT4, RANKL(TNFSF11), IL23A, STAT5, AKT(PKB)",
637,Chemotaxis_CCL2-induced chemotaxis,55,5.818E-02,1.281E-01,5.818E-02,1.281E-01,9,"PI3K cat class IA, CCL2, cPLA2, Lyn, G-protein alpha-i family, Actin cytoskeletal, PA24A, PI3K reg class IB (p101), c-Src",
638,Immune response_IL-16 signaling pathway,55,5.818E-02,1.281E-01,5.818E-02,1.281E-01,9,"IL-15, IL-1 beta, cPKC (conventional), PKC, IL-6, Eotaxin, AKT(PKB), IL-2R alpha chain, TNF-alpha",
639,Role of Thyroid hormone in regulation of oligodendrocyte differentiation in multiple sclerosis,55,5.818E-02,1.281E-01,5.818E-02,1.281E-01,9,"NGF, UGT8, Myelin basic protein, p14ARF, p15, OATP-F, PDGF-R-alpha, AKT(PKB), ID4",
640,Nociception_Pro-nociceptive action of Nociceptin in spinal cord at low doses,39,5.906E-02,1.287E-01,5.906E-02,1.287E-01,7,"Histamine H1 receptor, GABA-A receptor, NR2, Nociceptin, Prepronociceptin, nNOS, NR2A",
641,Role of neurotrophins in activation of p53 in major depressive disorder,39,5.906E-02,1.287E-01,5.906E-02,1.287E-01,7,"NGF, NGFR(TNFRSF16), TrkA, PI3K cat class IA, PLAT (TPA), TrkB, NT-3",
642,Immune response_HMGB1 release from the cell,39,5.906E-02,1.287E-01,5.906E-02,1.287E-01,7,"IL-1 beta, TNF-R2, PI3K cat class IA, PKC-alpha, TLR4, TLR2, TNF-alpha",
643,Signal transduction_Leptin signaling via JAK/STAT and MAPK cascade,39,5.906E-02,1.287E-01,5.906E-02,1.287E-01,7,"PPCKC, STAT5A, cPLA2, STAT5, NT/NN, MMP-9, BMP2",
644,Activation of Notch signaling in breast cancer,39,5.906E-02,1.287E-01,5.906E-02,1.287E-01,7,"p63, HEY1, Tenascin-C, NOTCH4, MAML2, Jagged1, TCF8",
645,Development_Beta-adrenergic receptor-induced regulation of ERK,47,5.917E-02,1.287E-01,5.917E-02,1.287E-01,8,"B-Raf, CD44, Beta-3 adrenergic receptor, G-protein alpha-i family, Adenylate cyclase, Beta-2 adrenergic receptor, PI3K reg class IB (p101), c-Src",
646,Immune response_Fc gamma R-mediated phagocytosis in macrophages,47,5.917E-02,1.287E-01,5.917E-02,1.287E-01,8,"Syk, PI3K cat class IA, PKC-alpha, Lyn, F-Actin cytoskeleton, Myosin II, Actin cytoskeletal, Fc gamma RII alpha",
647,"Development_TNF-alpha, IL-1 alpha and WNT5A-dependent regulation of osteogenesis and adipogenesis in mesenchymal stem cells",47,5.917E-02,1.287E-01,5.917E-02,1.287E-01,8,"Osteopontin, IL-1 alpha, RUNX2, RANKL(TNFSF11), ALPL, TAZ, IRAK1/2, TNF-alpha",
648,Proteolysis_Role of Parkin in the Ubiquitin-Proteasomal Pathway,24,6.088E-02,1.320E-01,6.088E-02,1.320E-01,5,"Tubulin beta, Alpha-synuclein, Cyclin E, Caspase-1, Synphilin 1",
649,G-protein signaling_M-RAS regulation pathway,24,6.088E-02,1.320E-01,6.088E-02,1.320E-01,5,"B-Raf, CalDAG-GEFIII, M-Ras, RASGRF1, c-Src",
650,Transition of Smoldering multiple myeloma to active multiple myeloma (schema),17,6.194E-02,1.339E-01,6.194E-02,1.339E-01,4,"IL-1 beta, CCL2, IL-8, IL-6",
651,IL-1 production in melanoma,17,6.194E-02,1.339E-01,6.194E-02,1.339E-01,4,"IL-1 beta, IL-1 alpha, B-Raf, Caspase-1",
652,SLE genetic marker-specific pathways in B cells,99,6.324E-02,1.365E-01,6.324E-02,1.365E-01,14,"Syk, BLK, PAX5, Ikaros, CalDAG-GEFIII, CD38, IFN-alpha, ETS1, Lyn, TLR4, TLR7, IFN-beta, BLIMP1 (PRDI-BF1), TNF-alpha",
653,Th2 cytokine-induced alternative activation of alveolar macrophages in asthma,32,6.510E-02,1.398E-01,6.510E-02,1.398E-01,6,"CHI3L1, Eotaxin-2, IL-33, Eotaxin, TSLP, TSLPR",
654,Androstenedione and testosterone biosynthesis and metabolism p.2,32,6.510E-02,1.398E-01,6.510E-02,1.398E-01,6,"AKR1C3, UGT1A1, UGT1A10, AKR1C1, AKR1C2, UGT1A4",
655,Activation of ACTH production in pituitary gland in major depressive disorder,32,6.510E-02,1.398E-01,6.510E-02,1.398E-01,6,"IL-1 beta, TNF-R2, V1b receptor, IL-6, IRAK1/2, TNF-alpha",
656,Muscle contraction_Relaxin signaling pathway,48,6.561E-02,1.407E-01,6.561E-02,1.407E-01,8,"LGR7, B-Raf, iNOS, G-protein alpha-i family, MMP-2, AKT(PKB), PDE4C, MMP-9",
657,Neurophysiological process_Delta-type opioid receptor in the nervous system,40,6.623E-02,1.412E-01,6.623E-02,1.412E-01,7,"CLCA4, PDE1C, Metenkefalin, P/Q-type calcium channel alpha-1A subunit, G-protein alpha-i family, PDE1A, Leu-enkephalin",
658,Activation of Cortisol production in major depressive disorder,40,6.623E-02,1.412E-01,6.623E-02,1.412E-01,7,"SF1, IL-6, CYP17, CYP21A2, MDR1, TNF-alpha, CYP11A1",
659,Development_FGF2-induced self-renewal of adult neural stem cells,40,6.623E-02,1.412E-01,6.623E-02,1.412E-01,7,"PI3K cat class IA, PKC, FGF2, NeuroD1, AKT(PKB), Jagged1, Syndecan-2",
660,Inhibition of Vitamin D pathway in Prostate Cancer,40,6.623E-02,1.412E-01,6.623E-02,1.412E-01,7,"CYP27A1, RUNX2, CYP24A1, IL-6, GFI-1, IBP3, CDK6",
661,Development_Role of IL-8 in angiogenesis,65,6.737E-02,1.434E-01,6.737E-02,1.434E-01,10,"PI3K cat class IA, IL-8, EGFR, G-protein alpha-i family, MMP-14, AKT(PKB), Caveolin-1, PI3K reg class IB (p101), c-Src, CARD11",
662,Role of nicotine in pathogenesis of SCLC,57,7.016E-02,1.484E-01,7.016E-02,1.484E-01,9,"nAChR alpha-7, GRP(1-27), PKC-alpha, P/Q-type calcium channel alpha-1A subunit, HTR1D, GRP precursor, FGF2, AKT(PKB), c-Src",
663,Development_Cytokine-mediated regulation of megakaryopoiesis,57,7.016E-02,1.484E-01,7.016E-02,1.484E-01,9,"IL-1 beta, NF-E2 (45 kDa), PI3K cat class IA, IL-1 alpha, MYCT1, LIF, IL-6, STAT5, AKT(PKB)",
664,Immune response_Role of PKR in stress-induced antiviral cell response,57,7.016E-02,1.484E-01,7.016E-02,1.484E-01,9,"IL-1 beta, IFN-alpha, IL-8, TLR4, IL-6, TLR3, IFN-beta, TLR2, TNF-alpha",
665,Regulation of intrinsic membrane properties and excitability of striatopallidal medium spiny neurons in Huntington's disease,57,7.016E-02,1.484E-01,7.016E-02,1.484E-01,9,"cPKC (conventional), PKC, Kir2.3, P/Q-type calcium channel alpha-1A subunit, G-protein alpha-i family, SCN2A, KCNQ2, G-protein alpha-q/11, SHANK",
666,Development_Cross-talk between VEGF and Angiopoietin 1 signaling pathways,25,7.065E-02,1.484E-01,7.065E-02,1.484E-01,5,"VCAM1, ICAM1, PKC-alpha, Angiopoietin 1, c-Src",
667,A proinflammatory phenotype of senescent alveolar epithelial cells in COPD,25,7.065E-02,1.484E-01,7.065E-02,1.484E-01,5,"IL-8, IL-6, p16INK4, PI3K cat class IA (p110-delta), TNF-alpha",
668,Zinc deficiency in Prostate Cancer,25,7.065E-02,1.484E-01,7.065E-02,1.484E-01,5,"c-IAP2, ICAM1, IL-8, IL-6, MMP-9",
669,HBV-dependent transcription regulation leading to HCC,25,7.065E-02,1.484E-01,7.065E-02,1.484E-01,5,"EGR2 (Krox20), IL-8, MMP-14, MMP-2, FasL(TNFSF6)",
670,Cytoskeleton remodeling_Neurofilaments,25,7.065E-02,1.484E-01,7.065E-02,1.484E-01,5,"Tubulin beta, Nestin, Actin cytoskeletal, Alpha-internexin, Vimentin",
671,Regulation of lipid metabolism_Regulation of lipid metabolism by niacin and isoprenaline,49,7.247E-02,1.508E-01,7.247E-02,1.508E-01,8,"Adenylate cyclase type VIII, PKC, Beta-3 adrenergic receptor, PKC-alpha, G-protein alpha-i family, MTP, Beta-2 adrenergic receptor, Adenylate cyclase type VII",
672,Mechanisms of drug resistance in multiple myeloma,49,7.247E-02,1.508E-01,7.247E-02,1.508E-01,8,"HAS1, CD44, IL-8, IL-6, Jagged1, c-Src, Frizzled, MDR1",
673,Demyelination in multiple sclerosis,49,7.247E-02,1.508E-01,7.247E-02,1.508E-01,8,"Myelin basic protein, iNOS, FasR(CD95), FasL(TNFSF6), Apo-2L(TNFSF10), AKT(PKB), MMP-9, TNF-alpha",
674,Cytoskeleton remodeling_Integrin outside-in signaling,49,7.247E-02,1.508E-01,7.247E-02,1.508E-01,8,"alpha-11/beta-1 integrin, Tcf(Lef), alpha-5/beta-1 integrin, Actin cytoskeletal, AKT(PKB), Collagen IV, Fibronectin, c-Src",
675,Immune response_PD-1-induced metabolic changes in T cells,49,7.247E-02,1.508E-01,7.247E-02,1.508E-01,8,"PI3K cat class IA, PD-L2, ZAP70, CD3 zeta, PD-1, Fyn, AKT(PKB), PD-L1",
