"","Ontology","Term","Description","CP_count","CP_p","CP_p_BH","DAVID_count","DAVID_p","DAVID_p_BH","rppa_count_DAVID","rppa_count_CP","rna_count_DAVID","rna_count_CP"
"360","BP","GO:0050671","positive regulation of lymphocyte proliferation",19,0.00169768981092599,0.0134806156754658,23,0.000434917427225934,0.00620915451773085,2,2,21,17
"361","BP","GO:1903707","negative regulation of hemopoiesis",23,0.000667228277144633,0.00658823176803376,23,0.000602091467745382,0.00823845057539951,2,1,21,22
"362","BP","GO:0030509","BMP signaling pathway",20,0.00151504273748199,0.0122672551350057,23,0.000669031226679506,0.00898376794810163,2,0,21,20
"363","BP","GO:0043491","protein kinase B signaling",43,5.56118275222488e-07,2.22750660341182e-05,23,0.00147843788356878,0.0179489369966936,0,0,23,43
"364","BP","GO:0043409","negative regulation of MAPK cascade",26,0.000429443097293444,0.0046067113365462,23,0.00232637239115488,0.0264176704501611,0,0,23,26
"365","BP","GO:0002040","sprouting angiogenesis",29,6.66658207065288e-06,0.00017636739893846,22,2.81058915213597e-08,1.1561929760262e-06,2,1,20,28
"366","BP","GO:0007492","endoderm development",23,5.71040899914639e-10,8.97541932101127e-08,22,1.43561289802827e-07,5.05833840880321e-06,1,0,21,23
"367","BP","GO:0030193","regulation of blood coagulation",20,1.78479678198496e-07,8.29387304602401e-06,22,9.45119030066494e-07,2.69688202745311e-05,1,3,21,17
"368","BP","GO:1900046","regulation of hemostasis",21,4.52352324119071e-08,2.57167108520459e-06,22,9.45119030066494e-07,2.69688202745311e-05,1,0,21,21
"369","BP","GO:0050818","regulation of coagulation",20,3.70192129014553e-07,1.55772184051478e-05,22,2.18710943813435e-06,5.6807214194432e-05,0,1,22,19
"370","BP","GO:0002688","regulation of leukocyte chemotaxis",17,0.00122741255381638,0.0103458875198655,22,1.39312712002107e-05,0.000300220372254745,1,1,21,16
"371","BP","GO:0032675","regulation of interleukin-6 production",22,0.000234730930308602,0.00285508521470471,22,4.27219557052763e-05,0.000825974029191934,1,1,21,21
"372","BP","GO:0032635","interleukin-6 production",24,0.000101384222323419,0.00150918463536588,22,6.64993573270663e-05,0.00121306704217805,1,1,21,23
"373","BP","GO:0048659","smooth muscle cell proliferation",30,4.94532415682454e-06,0.000137250267283865,22,8.82928132253201e-05,0.00155097938787807,2,2,20,28
"374","CC","GO:0042383","sarcolemma",26,7.40250404059898e-07,3.10905169705157e-05,22,0.000179180743031885,0.00372545650651823,0,0,22,26
"375","BP","GO:0051250","negative regulation of lymphocyte activation",20,0.00166566731312962,0.0132460210139355,22,0.000456834550708241,0.00648683583284504,0,0,22,20
"376","BP","GO:0006766","vitamin metabolic process",20,0.000674387782284485,0.00662223353112304,22,0.000639132461935558,0.00868460337185351,0,0,22,20
"377","MF","GO:0070851","growth factor receptor binding",21,0.000275960468039854,0.00555458890798167,22,0.000713157605398013,0.0225990318418335,0,0,22,21
"378","BP","GO:0002831","regulation of response to biotic stimulus",23,0.000172849640124276,0.0022365822683393,22,0.00160947243593124,0.0193804595647269,3,1,19,22
"379","BP","GO:0007605","sensory perception of sound",22,0.000499595152304216,0.00517410173239096,22,0.00279726067816557,0.0309946165449391,1,0,21,22
"380","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling",17,0.00547594949979038,0.033178542093968,22,0.00362528525059199,0.0383831783626769,0,0,22,17
"381","BP","GO:0061333","renal tubule morphogenesis",21,1.59016874717935e-07,7.58737659368431e-06,21,1.07122526606787e-06,2.99347733451194e-05,0,0,21,21
"382","BP","GO:0001657","ureteric bud development",21,6.22680460180271e-06,0.000167216300462481,21,3.98833760447988e-05,0.000778543344217564,2,0,19,21
"383","MF","GO:0004497","monooxygenase activity",19,1.5117207290257e-05,0.00047468030891407,21,4.49840301307977e-05,0.00220464481315374,1,0,20,19
"384","BP","GO:0072164","mesonephric tubule development",21,7.39644750664416e-06,0.000191876774152944,21,4.67128773200619e-05,0.000896683047133084,2,0,19,21
"385","BP","GO:0048863","stem cell differentiation",42,5.71192063077559e-08,3.14685606709946e-06,21,4.67128773200619e-05,0.000896683047133084,1,1,20,41
"386","BP","GO:0072163","mesonephric epithelium development",21,7.39644750664416e-06,0.000191876774152944,21,4.67128773200619e-05,0.000896683047133084,1,1,20,20
"387","BP","GO:0042633","hair cycle",22,1.27378724222328e-05,0.000290084362876734,21,4.67128773200619e-05,0.000896683047133084,1,0,20,22
"388","BP","GO:0042303","molting cycle",22,1.27378724222328e-05,0.000290084362876734,21,4.67128773200619e-05,0.000896683047133084,0,0,21,22
"389","BP","GO:0001823","mesonephros development",21,1.43274689164645e-05,0.000321705856678935,21,9.90087609076916e-05,0.0017315589929815,0,0,21,21
"390","BP","GO:0042471","ear morphogenesis",23,9.63879214941678e-06,0.00023000385072613,21,0.000422128797575342,0.00606985588071418,1,0,20,23
"391","BP","GO:0070555","response to interleukin-1",25,0.00188339971163627,0.014565684600556,21,0.000475763048832328,0.00668451717992569,0,1,21,24
"392","BP","GO:0002224","toll-like receptor signaling pathway",23,0.000268321327633886,0.00319356163669373,21,0.000475763048832328,0.00668451717992569,0,2,21,21
"393","BP","GO:0035051","cardiocyte differentiation",24,0.00021978519104984,0.00271882421520913,21,0.00116183199587899,0.0145898081048444,0,0,21,24
"394","BP","GO:0022408","negative regulation of cell-cell adhesion",27,9.77870595628983e-05,0.00147263810027847,21,0.00307626535629152,0.0337158735592846,0,1,21,26
"395","BP","GO:0048167","regulation of synaptic plasticity",22,0.0041702108973373,0.0272107534009408,21,0.00400953643110916,0.0416672859613899,2,1,19,21
"396","BP","GO:0035987","endodermal cell differentiation",20,7.59519950698304e-12,2.53679663533234e-09,20,1.90052998562284e-10,1.24208813234716e-08,0,2,20,18
"397","BP","GO:0001706","endoderm formation",20,8.49636158782853e-11,1.81618225301423e-08,20,8.09401385950041e-09,3.72692481320769e-07,3,1,17,19
"398","BP","GO:0061035","regulation of cartilage development",18,7.67597752325008e-07,2.90924992086868e-05,20,1.46954561691104e-07,5.08938814247628e-06,1,0,19,18
"399","BP","GO:0072028","nephron morphogenesis",20,7.35607994940145e-07,2.86940812040886e-05,20,5.5921633214469e-06,0.000134468757294282,0,0,20,20
"400","BP","GO:0045621","positive regulation of lymphocyte differentiation",17,0.00046547454958095,0.0049063037336501,20,1.23264753401221e-05,0.00026634951421578,0,0,20,17
"401","BP","GO:0001656","metanephros development",21,2.08195848706497e-06,6.86789268819457e-05,20,4.27628813603292e-05,0.000824797287809376,0,0,20,21
"402","BP","GO:1990266","neutrophil migration",15,0.000138234327614245,0.00191876427732604,20,6.94794685983363e-05,0.00125608808299316,1,0,19,15
"403","BP","GO:0014013","regulation of gliogenesis",27,4.05431140209345e-07,1.69267501037402e-05,20,8.12099264486008e-05,0.00144544218363785,0,0,20,27
"404","BP","GO:0032649","regulation of interferon-gamma production",18,9.81023884167544e-05,0.00147263810027847,20,9.46581290726709e-05,0.00165911086752146,0,0,20,18
"405","BP","GO:0050715","positive regulation of cytokine secretion",24,1.98153667596573e-05,0.000420211587157176,20,0.000127573297540231,0.0021788884964421,0,1,20,23
"406","BP","GO:0043200","response to amino acid",21,2.28973243160883e-05,0.000465259700171771,20,0.000127573297540231,0.0021788884964421,1,1,19,20
"407","BP","GO:0032609","interferon-gamma production",20,5.52616847702765e-05,0.00097787564043827,20,0.000224768497929194,0.00353794582930844,0,0,20,20
"408","BP","GO:0008366","axon ensheathment",23,3.98629884552597e-05,0.000739679896892041,20,0.000257406891973179,0.00397356148484085,0,0,20,23
"409","BP","GO:0014065","phosphatidylinositol 3-kinase signaling",20,0.00286209091297174,0.0201019398239599,20,0.000257406891973179,0.00397356148484085,1,1,19,19
"410","BP","GO:0007272","ensheathment of neurons",23,3.98629884552597e-05,0.000739679896892041,20,0.000257406891973179,0.00397356148484085,0,0,20,23
"411","BP","GO:0042698","ovulation cycle",13,0.00102401816688449,0.0089011217951547,20,0.000381400913501347,0.00557475133365759,0,0,20,13
"412","BP","GO:0001837","epithelial to mesenchymal transition",29,3.33226391857267e-07,1.43609825652035e-05,20,0.000432921779134432,0.00619165090772267,0,0,20,29
"413","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",21,0.00379339489896128,0.0252452083935854,20,0.000625309855766314,0.00851179061719032,0,0,20,21
"414","BP","GO:0050728","negative regulation of inflammatory response",24,0.000858143631329705,0.00783917874500161,20,0.000791119000656306,0.01044225868242,0,0,20,24
"415","BP","GO:0001935","endothelial cell proliferation",27,0.000147358070262233,0.00200888144765657,20,0.000887309313400724,0.011573199870805,0,0,20,27
"416","BP","GO:0071706","tumor necrosis factor superfamily cytokine production",21,0.00600020979314637,0.0355489147833417,20,0.000887309313400724,0.011573199870805,1,0,19,21
"417","BP","GO:0051896","regulation of protein kinase B signaling",36,2.12425210361141e-05,0.000441712188392972,20,0.00337419192720653,0.0360983615051156,0,2,20,34
"418","BP","GO:0061351","neural precursor cell proliferation",19,0.00738553976558775,0.0411557085581866,20,0.00442599238365032,0.045439580667198,1,1,19,18
"419","BP","GO:0071901","negative regulation of protein serine/threonine kinase activity",20,0.00166566731312962,0.0132460210139355,20,0.00442599238365032,0.045439580667198,0,0,20,20
"420","BP","GO:0010595","positive regulation of endothelial cell migration",24,8.44753086290974e-06,0.000213950734271989,19,1.64270020488041e-06,4.40799999528174e-05,1,2,18,22
"421","BP","GO:0072088","nephron epithelium morphogenesis",19,2.09714365140224e-06,6.87181016181165e-05,19,1.48253148223742e-05,0.000316121712256257,2,0,17,19
"422","BP","GO:0048709","oligodendrocyte differentiation",25,1.10990426090209e-08,8.72254172097168e-07,19,1.48253148223742e-05,0.000316121712256257,0,1,19,24
"423","BP","GO:0042475","odontogenesis of dentin-containing tooth",20,2.59162581500871e-06,8.14685197376855e-05,19,2.62923526399289e-05,0.000532548213189044,1,0,18,20
"424","BP","GO:0002690","positive regulation of leukocyte chemotaxis",13,0.00599794333717152,0.0355489147833417,19,4.50731343706005e-05,0.000867274325165424,1,0,18,13
"425","BP","GO:0030593","neutrophil chemotaxis",14,5.60839558481438e-05,0.000989150693242509,19,4.50731343706005e-05,0.000867274325165424,0,0,19,14
"426","BP","GO:0060021","roof of mouth development",21,7.6298285607173e-07,2.90924992086868e-05,19,6.34454033180459e-05,0.00116525675044798,2,0,17,21
"427","BP","GO:0045778","positive regulation of ossification",20,9.54612501766839e-06,0.00023000385072613,19,6.34454033180459e-05,0.00116525675044798,0,2,19,18
"428","BP","GO:1902106","negative regulation of leukocyte differentiation",18,0.000264454739210358,0.00315456724629498,19,8.8146622686634e-05,0.00155177673755325,0,0,19,18
"429","BP","GO:0042472","inner ear morphogenesis",21,5.22711472641615e-06,0.000142611747928706,19,0.000291965854561964,0.00440526219944049,1,1,18,20
"430","BP","GO:0042035","regulation of cytokine biosynthetic process",18,0.000715982584468502,0.00691900710922184,19,0.000383556805294825,0.00558603456601603,0,1,19,17
"431","BP","GO:0001936","regulation of endothelial cell proliferation",24,0.000492293307783537,0.00510837948892276,19,0.000438025482957993,0.00624240331240822,0,1,19,23
"432","BP","GO:0042552","myelination",23,3.04804385698282e-05,0.000585926128479001,19,0.000567286486627277,0.00783002909554675,0,1,19,22
"433","BP","GO:0034754","cellular hormone metabolic process",23,4.37790852257429e-06,0.000124053020673224,19,0.000643401595212696,0.00872774834754475,0,1,19,22
"434","BP","GO:0010811","positive regulation of cell-substrate adhesion",18,0.000900123987034067,0.00814163129194581,19,0.00104206327779964,0.0133430652439293,1,0,18,18
"435","BP","GO:0032680","regulation of tumor necrosis factor production",20,0.0059470072923686,0.0353512869526338,19,0.00116955801008582,0.0146408245476086,0,0,19,20
"436","BP","GO:0007229","integrin-mediated signaling pathway",17,0.000357170403635058,0.00397649716047031,19,0.00116955801008582,0.0146408245476086,2,0,17,17
"437","BP","GO:0030260","entry into host cell",23,9.64937778058662e-05,0.00146912463987051,19,0.00224654534744542,0.0256294956956027,1,2,18,21
"438","BP","GO:0046718","viral entry into host cell",20,0.000433661952983861,0.00460733494382853,19,0.00224654534744542,0.0256294956956027,1,0,18,20
"439","BP","GO:0051806","entry into cell of other organism involved in symbiotic interaction",23,9.64937778058662e-05,0.00146912463987051,19,0.00224654534744542,0.0256294956956027,0,0,19,23
"440","BP","GO:0051828","entry into other organism involved in symbiotic interaction",23,9.64937778058662e-05,0.00146912463987051,19,0.00224654534744542,0.0256294956956027,1,0,18,23
"441","BP","GO:0044409","entry into host",23,9.64937778058662e-05,0.00146912463987051,19,0.00224654534744542,0.0256294956956027,0,1,19,22
"442","BP","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",21,0.000831679882791878,0.00764973716633356,19,0.00405439223669411,0.0420705800656976,3,0,16,21
"443","BP","GO:0003231","cardiac ventricle development",19,0.00271985275839268,0.0193540521183095,19,0.00444886651008316,0.0456118470264613,0,1,19,18
"444","BP","GO:0030856","regulation of epithelial cell differentiation",26,1.85519610968432e-05,0.000399764839119074,19,0.00487437776798995,0.0492540085875807,0,1,19,25
"445","BP","GO:0030199","collagen fibril organization",19,7.7157655823194e-11,1.81124542241847e-08,18,2.33587736454678e-09,1.19809804965954e-07,0,0,18,19
"446","BP","GO:0071357","cellular response to type I interferon",18,8.42657503143782e-05,0.0013493973536627,18,3.19257310555544e-05,0.000632392265138226,2,0,16,18
"447","BP","GO:0072078","nephron tubule morphogenesis",18,5.88346397773131e-06,0.000158794098469677,18,3.19257310555544e-05,0.000632392265138226,1,0,17,18
"448","BP","GO:0060337","type I interferon signaling pathway",18,8.42657503143782e-05,0.0013493973536627,18,3.19257310555544e-05,0.000632392265138226,1,0,17,18
"449","BP","GO:0034340","response to type I interferon",18,0.000152331629380967,0.00206091196813136,18,6.66644967339642e-05,0.00121334664740547,0,0,18,18
"450","MF","GO:0019199","transmembrane receptor protein kinase activity",14,0.000209074701492641,0.00455163324021111,18,9.70603279146137e-05,0.00411023545530953,0,0,18,14
"451","BP","GO:0022405","hair cycle process",18,6.16490908018371e-05,0.00105593827322121,18,0.000111328185265244,0.00192193288657527,0,0,18,18
"452","BP","GO:0022404","molting cycle process",18,6.16490908018371e-05,0.00105593827322121,18,0.000111328185265244,0.00192193288657527,0,1,18,17
"453","BP","GO:0001942","hair follicle development",18,4.45755470831668e-05,0.000813009295605609,18,0.000111328185265244,0.00192193288657527,0,0,18,18
"454","BP","GO:0098773","skin epidermis development",18,6.16490908018371e-05,0.00105593827322121,18,0.000154039703681696,0.00254458136730407,1,0,17,18
"455","BP","GO:0033273","response to vitamin",19,3.40315365834423e-05,0.000640368068668718,18,0.000154039703681696,0.00254458136730407,0,0,18,19
"456","BP","GO:0032640","tumor necrosis factor production",20,0.00800320142429468,0.0440918643416812,18,0.00193438343812797,0.0225491831471843,1,0,17,20
"457","BP","GO:0050709","negative regulation of protein secretion",22,0.00026263200696053,0.00314687319550913,18,0.00296994008584048,0.0327449868440174,0,1,18,21
"458","BP","GO:0048593","camera-type eye morphogenesis",18,0.000803547299215849,0.00746809872523391,18,0.00296994008584048,0.0327449868440174,0,1,18,17
"459","BP","GO:0046849","bone remodeling",19,4.7722085522367e-06,0.000133521897922267,17,5.66299795491597e-05,0.00105448352463244,0,2,17,17
"460","BP","GO:0070664","negative regulation of leukocyte proliferation",14,0.000657890566111952,0.00653003779932842,17,5.66299795491597e-05,0.00105448352463244,0,0,17,14
"461","BP","GO:0021536","diencephalon development",14,0.000415354367784474,0.00452067971780087,17,0.000195343047820366,0.00312399295291044,0,1,17,13
"462","BP","GO:0014033","neural crest cell differentiation",18,1.5834669777795e-06,5.38983919060741e-05,17,0.00022965732810012,0.00360776125101536,0,1,17,17
"463","BP","GO:0070167","regulation of biomineral tissue development",18,6.16490908018371e-05,0.00105593827322121,17,0.00026907585302738,0.00410642123079341,0,0,17,18
"464","BP","GO:0021782","glial cell development",22,1.727728504239e-05,0.000377743877703145,17,0.000424382353847511,0.0060805949356052,0,0,17,22
"465","BP","GO:0048644","muscle organ morphogenesis",17,8.10577054238591e-05,0.00130867787850484,17,0.000424382353847511,0.0060805949356052,0,1,17,16
"466","BP","GO:0006939","smooth muscle contraction",20,6.38469606972215e-05,0.00108661833747118,17,0.000566227816611748,0.00782879995538432,1,0,16,20
"467","BP","GO:0060349","bone morphogenesis",17,0.000311724411428989,0.00358248441865918,17,0.000746817897133838,0.00989240891892262,0,1,17,16
"468","BP","GO:1903524","positive regulation of blood circulation",14,0.00017883493895716,0.00229183192754691,17,0.000746817897133838,0.00989240891892262,0,1,17,13
"469","BP","GO:0045446","endothelial cell differentiation",19,0.000171453183632004,0.00222930854824678,17,0.00255746287464536,0.028765542233671,1,0,16,19
"470","CC","GO:0005796","Golgi lumen",17,0.00111721739199926,0.0148178306728323,17,0.00267044908534825,0.0348221886515955,0,0,17,17
"471","BP","GO:0032330","regulation of chondrocyte differentiation",15,6.34866597968844e-07,2.49465227907757e-05,16,8.99406264246235e-07,2.59384238894267e-05,1,2,15,13
"472","MF","GO:0050840","extracellular matrix binding",12,3.3619836436319e-05,0.000879719053417015,16,3.91825394850784e-06,0.000307536238587813,1,1,15,11
"473","BP","GO:0060135","maternal process involved in female pregnancy",16,8.5239153047175e-06,0.000214866997115143,16,2.34345915847491e-05,0.000478263820858915,0,2,16,14
"474","BP","GO:1904888","cranial skeletal system development",16,1.63326605899441e-05,0.000360668339639097,16,3.65082643002876e-05,0.000717869331591459,0,0,16,16
"475","BP","GO:0048708","astrocyte differentiation",18,8.79386205122905e-06,0.000218578599077991,16,5.56071046622564e-05,0.00103783091018117,1,1,15,17
"476","MF","GO:0004714","transmembrane receptor protein tyrosine kinase activity",11,0.000614611529634014,0.00984632756658573,16,6.26549267117222e-05,0.00280666298458643,2,0,14,11
"477","BP","GO:0060675","ureteric bud morphogenesis",16,2.00828224467169e-05,0.000422529933682106,16,0.000100566313146361,0.00175121834015468,1,1,15,15
"478","BP","GO:0072171","mesonephric tubule morphogenesis",16,2.00828224467169e-05,0.000422529933682106,16,0.000100566313146361,0.00175121834015468,1,1,15,15
"479","BP","GO:1903035","negative regulation of response to wounding",17,0.000111591774916103,0.00161611502751126,16,0.000145792972991777,0.00242830694099572,0,0,16,17
"480","BP","GO:0071260","cellular response to mechanical stimulus",17,4.112043634079e-05,0.000760372359187481,16,0.000342747074258877,0.00507516990952528,0,1,16,16
"481","BP","GO:0060415","muscle tissue morphogenesis",16,0.000106132356543193,0.00155816294880995,16,0.000469785815376132,0.00661225612299987,0,1,16,15
"482","BP","GO:0048661","positive regulation of smooth muscle cell proliferation",18,0.000343594373051229,0.00388196264183038,16,0.000547128777153884,0.00757858943110168,0,2,16,16
"483","BP","GO:0060840","artery development",22,1.99381123190036e-06,6.6593295145472e-05,16,0.000847435617780358,0.0111094226917677,0,1,16,21
"484","CC","GO:0044853","plasma membrane raft",22,5.87135863260434e-06,0.000175028639145662,16,0.00136085766846169,0.0200561628822935,1,1,15,21
"485","BP","GO:1901343","negative regulation of vasculature development",23,0.00485829838480056,0.0302700975761827,16,0.00165461533672468,0.0198307443717437,0,1,16,22
"486","BP","GO:2000106","regulation of leukocyte apoptotic process",15,0.000565863788763968,0.00577094673121116,16,0.00165461533672468,0.0198307443717437,0,1,16,14
"487","BP","GO:0007044","cell-substrate junction assembly",17,0.000408233370619664,0.00446134791940998,16,0.0018759576969652,0.0220652938062202,0,2,16,15
"488","BP","GO:2000379","positive regulation of reactive oxygen species metabolic process",17,0.00068050485368501,0.00662407638996848,16,0.0023929824856178,0.0271266546361403,0,2,16,15
"489","BP","GO:0050868","negative regulation of T cell activation",15,0.00926165565047959,0.0490892254850307,16,0.00338537254304627,0.0361683244760774,0,1,16,14
"490","BP","GO:0009954","proximal/distal pattern formation",15,6.0125214828758e-10,9.18026137271093e-08,15,2.37464897210264e-08,9.97106007649684e-07,0,0,15,15
"491","BP","GO:0034121","regulation of toll-like receptor signaling pathway",18,7.67597752325008e-07,2.90924992086868e-05,15,9.2518685060661e-06,0.00020767230906138,0,3,15,15
"492","BP","GO:0060350","endochondral bone morphogenesis",15,3.63215872483048e-06,0.000109046383289292,15,9.2518685060661e-06,0.00020767230906138,0,0,15,15
"493","BP","GO:0045669","positive regulation of osteoblast differentiation",15,6.70356816019325e-05,0.00112441210366764,15,0.000147645400193526,0.00245408167464001,0,0,15,15
"494","BP","GO:0032755","positive regulation of interleukin-6 production",15,0.000364599776704549,0.00402805002044043,15,0.00030871152035737,0.00463151293963682,0,2,15,13
"495","MF","GO:0038024","cargo receptor activity",16,0.000373552520198264,0.00681950531059622,15,0.000399233897357753,0.01447382245225,0,1,15,15
"496","BP","GO:0043534","blood vessel endothelial cell migration",25,0.000482777341422658,0.00504884953534772,15,0.000512128386448396,0.00714422234432965,0,0,15,25
"497","BP","GO:0032642","regulation of chemokine production",17,1.96899850275853e-05,0.000419441451733686,15,0.000601343207866071,0.00824216340232709,1,0,14,17
"498","BP","GO:0048663","neuron fate commitment",14,0.000213414926220477,0.00265230085051681,15,0.000703395251369783,0.00936563701877524,0,1,15,13
"499","BP","GO:0045582","positive regulation of T cell differentiation",13,0.00819211082147451,0.0446720818673059,15,0.000819719241719327,0.0107827643047161,0,1,15,12
"500","BP","GO:0030500","regulation of bone mineralization",16,4.38525583448867e-05,0.00080256188970916,15,0.000819719241719327,0.0107827643047161,2,0,13,16
"501","BP","GO:0007422","peripheral nervous system development",15,0.000116077365456692,0.00166304943967979,15,0.000951857758968258,0.0122721218751777,0,0,15,15
"502","BP","GO:0032612","interleukin-1 production",16,0.00429312819527969,0.0278790190711681,15,0.00110146389203559,0.0139446011607229,0,1,15,15
"503","CC","GO:0005901","caveola",16,0.000133358387337584,0.00224371906910325,15,0.00119058928938413,0.0179301546502829,0,2,15,14
"504","BP","GO:1901655","cellular response to ketone",16,0.000816590110524172,0.00756301135293098,15,0.00167332001351909,0.0200232612893391,0,2,15,14
"505","BP","GO:0002456","T cell mediated immunity",15,0.00181640775917118,0.0141499753134268,15,0.00316329885392549,0.0344684600151909,0,0,15,15
"506","BP","GO:0060191","regulation of lipase activity",15,0.0028625703978356,0.0201019398239599,15,0.00316329885392549,0.0344684600151909,0,0,15,15
"507","BP","GO:0001708","cell fate specification",15,0.000423453654192536,0.00456237162904216,15,0.00356344577437841,0.0378385227857909,0,0,15,15
"508","BP","GO:0033627","cell adhesion mediated by integrin",19,3.53690063474035e-08,2.10013299911693e-06,14,1.61049375207815e-05,0.000340713392159131,0,0,14,19
"509","BP","GO:0006940","regulation of smooth muscle contraction",12,0.00137471403005143,0.0113022642716844,14,0.000263253609240607,0.00404822503327285,0,0,14,12
"510","BP","GO:0048844","artery morphogenesis",20,2.28760601136829e-07,1.03601411226713e-05,14,0.000318504132719552,0.00474298639042936,0,0,14,20
"511","BP","GO:0001658","branching involved in ureteric bud morphogenesis",14,0.000102405569288251,0.00152015378410114,14,0.00045903951235546,0.00650665226453628,0,2,14,12
"512","BP","GO:0010517","regulation of phospholipase activity",12,0.00244961963320103,0.0178591641471027,14,0.000648887900744359,0.00878716254192147,0,1,14,11
"513","BP","GO:0032835","glomerulus development",15,1.57684129132998e-05,0.000351071737833404,14,0.000766254112459324,0.0101320974123389,2,0,12,15
"514","BP","GO:0042310","vasoconstriction",15,9.70765184550385e-05,0.00146962298760262,14,0.000766254112459324,0.0101320974123389,0,0,14,15
"515","BP","GO:0014032","neural crest cell development",15,1.9700562197821e-05,0.000419441451733686,14,0.00219234232797568,0.0250888331319433,0,0,14,15
"516","BP","GO:0043407","negative regulation of MAP kinase activity",13,0.00157202086237753,0.0125761668990202,14,0.00326220683606635,0.0352918253459144,0,0,14,13
"517","BP","GO:0032602","chemokine production",17,6.87548534727364e-05,0.00114462908709752,14,0.00370110079907673,0.0389682526283277,0,1,14,16
"518","BP","GO:0003208","cardiac ventricle morphogenesis",13,0.00234324928736642,0.0171542080820966,14,0.00370110079907673,0.0389682526283277,0,0,14,13
"519","CC","GO:0098644","complex of collagen trimers",11,6.76715001290859e-09,3.41064360650593e-07,13,2.930652856057e-08,1.12444461075611e-06,0,1,13,10
"520","BP","GO:0035136","forelimb morphogenesis",13,3.70770017649651e-06,0.000110395932504926,13,2.79619163394213e-05,0.000560749993711362,2,1,11,12
"521","MF","GO:0005044","scavenger receptor activity",12,0.00022316306643666,0.00461007913559941,13,0.000131636633988813,0.00542426471258128,0,1,13,11
"522","BP","GO:0048701","embryonic cranial skeleton morphogenesis",13,1.20771179412263e-05,0.000281834577632808,13,0.000166277170393807,0.00271876659595627,1,1,12,12
"523","BP","GO:0031663","lipopolysaccharide-mediated signaling pathway",12,0.000425137485873449,0.00457129723240988,13,0.000207493913679661,0.00327919204641669,1,2,12,10
"524","BP","GO:0043535","regulation of blood vessel endothelial cell migration",20,0.0036897848452875,0.0246870093293646,13,0.000386966745284079,0.00562545820139826,0,1,13,19
"525","BP","GO:0048546","digestive tract morphogenesis",13,3.39023745547258e-05,0.00064019183611468,13,0.000386966745284079,0.00562545820139826,0,0,13,13
"526","BP","GO:0019748","secondary metabolic process",12,0.0010057191689296,0.00883974216901276,13,0.000682885932189791,0.00915385604357366,0,0,13,12
"527","BP","GO:0061045","negative regulation of wound healing",15,0.000163974810142252,0.00217383255905828,13,0.00185035908212456,0.021798837027217,0,1,13,14
"528","BP","GO:0002088","lens development in camera-type eye",13,0.00102401816688449,0.0089011217951547,13,0.00329843290682106,0.0354881628443456,1,0,12,13
"529","BP","GO:0034103","regulation of tissue remodeling",14,0.00171767522665858,0.013598898387057,13,0.00430696345556658,0.0443546133941641,2,0,11,14
"530","BP","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling",14,0.00248341715389705,0.0180073015880947,13,0.00430696345556658,0.0443546133941641,2,0,11,14
"531","BP","GO:0030279","negative regulation of ossification",12,0.00824957572921485,0.0448938214836295,13,0.00489646194016806,0.0494106452188141,0,0,13,12
"532","BP","GO:0009595","detection of biotic stimulus",9,8.938104747218e-06,0.000220116275433793,12,6.48974942069364e-07,1.95510900552476e-05,1,2,11,7
"533","BP","GO:0048566","embryonic digestive tract development",12,2.27722941010162e-06,7.24549132647566e-05,12,2.59759756384276e-05,0.000527459943602371,0,2,12,10
"534","BP","GO:0001709","cell fate determination",12,2.89833651117676e-05,0.000562392438503183,12,0.000371984883750868,0.00545715393104418,0,0,12,12
"535","BP","GO:0032653","regulation of interleukin-10 production",10,0.00208293344265175,0.0157220286970776,12,0.000461185656771808,0.00652556925508108,1,1,11,9
"536","BP","GO:0021983","pituitary gland development",9,0.00326579277270866,0.0223462184089054,12,0.000567602593830354,0.00782105947021694,0,1,12,8
"537","MF","GO:0008009","chemokine activity",7,0.00403443921189003,0.0416715102807063,12,0.000685597216309526,0.0221826968268329,0,2,12,5
"538","BP","GO:0032613","interleukin-10 production",11,0.000945211549560165,0.00844684033586877,12,0.00069373344118975,0.00925274039177759,0,0,12,11
"539","BP","GO:0002762","negative regulation of myeloid leukocyte differentiation",12,0.000126260838114871,0.00176632963059129,12,0.000842306630172684,0.0110604136235924,0,0,12,12
"540","BP","GO:0042116","macrophage activation",17,0.000357170403635058,0.00397649716047031,12,0.000842306630172684,0.0110604136235924,1,1,11,16
"541","BP","GO:0032722","positive regulation of chemokine production",12,0.000238181296919168,0.00287973043152949,12,0.00101628613526818,0.0130562362071586,0,1,12,11
"542","BP","GO:0007566","embryo implantation",12,0.000290595342253841,0.00340557348465905,12,0.00121887471274865,0.0151835274637314,0,0,12,12
"543","BP","GO:0042130","negative regulation of T cell proliferation",10,0.00522508472436514,0.0319849401683932,12,0.00203392346912059,0.0236289691212285,0,1,12,9
"544","BP","GO:0070228","regulation of lymphocyte apoptotic process",10,0.00288635026324463,0.0201714588512573,12,0.00433214578975892,0.0445521523770015,0,0,12,10
