Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
558,EML4/ALK fusion protein in nonsmoking-related lung cancer ,32,7.86E-03,2.05E-02,7.86E-03,2.05E-02,8,"STAT3, PI3K cat class IA, IRS-2, EGFR, ERK1/2, NF-kB, AKT(PKB), p53",1.58E-01,2.82E-01,5,"PI3K cat class IA, IRS-2, EGFR, NF-kB, AKT(PKB)"
559,Immunological synapse between dendritic and CD8+ T cells in allergic contact dermatitis,32,7.86E-03,2.05E-02,7.86E-03,2.05E-02,8,"PD-L2, Lck, ICAM1, CD70(TNFSF7), CD137 ligand(TNFSF9), NF-kB, CD137(TNFRSF9), PD-L1",2.19E-02,6.60E-02,7,"PD-L2, ICAM1, CD70(TNFSF7), CD137 ligand(TNFSF9), NF-kB, CD137(TNFRSF9), PD-L1"
560,Cytoskeleton remodeling_Reverse signaling by Ephrin-B,32,7.86E-03,2.05E-02,7.86E-03,2.05E-02,8,"F-Actin, G-protein alpha-i family, PINCH-2, Beta-catenin, Actin cytoskeletal, Tau (MAPT), SOS, Ephrin-B receptors",1.58E-01,2.82E-01,5,"G-protein alpha-i family, PINCH-2, Tau (MAPT), SOS, Ephrin-B receptors"
561,Signal transduction_ERK1/2 signaling pathway,32,7.86E-03,2.05E-02,7.86E-03,2.05E-02,8,"PKC-alpha, N-Ras, ERK1/2, SOS, ERK2 (MAPK1), SOS1, A-Raf-1, ERK1 (MAPK3)",5.63E-01,7.13E-01,3,"PKC-alpha, SOS, SOS1"
562,Development_FGF2-dependent induction of EMT,20,8.15E-03,2.11E-02,8.15E-03,2.11E-02,6,"IL-1 beta, PI3K cat class IA, FGF2, AKT(PKB), PDK (PDPK1), p27KIP1",1.01E-01,2.01E-01,4,"IL-1 beta, PI3K cat class IA, FGF2, AKT(PKB)"
563,Androstenedione and testosterone biosynthesis and metabolism p.3,40,8.19E-03,2.53E-02,1.02E-02,2.53E-02,9,"CYP11B1, UGT2B28, AKR1C3, AKR1C4, UGT1A10, UGT2B4, UGT2B7, AKR1C2, UGT2B17",8.19E-03,3.32E-02,9,"CYP11B1, UGT2B28, AKR1C3, AKR1C4, UGT1A10, UGT2B4, UGT2B7, AKR1C2, UGT2B17"
564,Th9 cells in asthma,47,8.21E-03,2.55E-02,1.04E-02,2.55E-02,10,"GATA-3, ST2(L), MHC class II, CRLR, RelA (p65 NF-kB subunit), CCL13, Activin A, IL-33, TGF-beta, CCL7",8.21E-03,3.32E-02,10,"GATA-3, ST2(L), MHC class II, CRLR, RelA (p65 NF-kB subunit), CCL13, Activin A, IL-33, TGF-beta, CCL7"
565,Hedgehog signaling in prostate cancer,26,8.28E-03,2.14E-02,8.28E-03,2.14E-02,7,"PTCH1, Bcl-2, Nestin, SNAIL1, GLI-1, IBP6, GLI-2",2.57E-02,7.45E-02,6,"PTCH1, Bcl-2, Nestin, GLI-1, IBP6, GLI-2"
566,Downregulation of MITF in melanoma,26,8.28E-03,2.14E-02,8.28E-03,2.14E-02,7,"STAT3, IL-1 beta, SOX10, IL-6, NF-kB, p27KIP1, GLI-2",8.00E-02,1.72E-01,5,"IL-1 beta, SOX10, IL-6, NF-kB, GLI-2"
567,Immune response_Role of HMGB1 in dendritic cell maturation and migration,26,8.28E-03,2.14E-02,8.28E-03,2.14E-02,7,"IL-15, IL-1 beta, MHC class II, IL-8, ERK1/2, IL-6, NF-kB",2.57E-02,7.45E-02,6,"IL-15, IL-1 beta, MHC class II, IL-8, IL-6, NF-kB"
568,Development_Thrombopoietin signaling via ERK1/2 and PI3K,67,8.40E-03,2.16E-02,8.40E-03,2.16E-02,13,"PDK1, NF-E2 (45 kDa), PI3K cat class IA, RelA (p65 NF-kB subunit), IRS-2, BMP4, ERK1/2, HOXA9, AKT(PKB), SOS1, Thrombopoietin, PDK (PDPK1), p27KIP1",1.48E-01,2.69E-01,9,"NF-E2 (45 kDa), PI3K cat class IA, RelA (p65 NF-kB subunit), IRS-2, BMP4, HOXA9, AKT(PKB), SOS1, Thrombopoietin"
569,"Immune response_Th17, Th22 and Th9 cell differentiation ",39,8.58E-03,2.20E-02,8.58E-03,2.20E-02,9,"STAT3, IL-1 beta, GATA-3, MHC class II, ROR-alpha, ROR-gamma, TGF-beta receptor type II, IL-6, NF-kB",2.14E-02,6.53E-02,8,"IL-1 beta, GATA-3, MHC class II, ROR-alpha, ROR-gamma, TGF-beta receptor type II, IL-6, NF-kB"
570,TrkB signaling in Huntington's disease,39,8.58E-03,2.20E-02,8.58E-03,2.20E-02,9,"NGFR(TNFRSF16), PI3K cat class IA, PKC, NR1, ERK1/2, SOS, PDK (PDPK1), NR2A, IP3 receptor",5.79E-02,1.34E-01,7,"NGFR(TNFRSF16), PI3K cat class IA, PKC, NR1, SOS, NR2A, IP3 receptor"
571,Immune response_HMGB1 release from the cell,39,8.58E-03,2.20E-02,8.58E-03,2.20E-02,9,"IL-1 beta, TNF-R2, PI3K cat class IA, PKC-alpha, TLR4, NF-kB, PDK (PDPK1), TLR2, IP3 receptor",2.14E-02,6.53E-02,8,"IL-1 beta, TNF-R2, PI3K cat class IA, PKC-alpha, TLR4, NF-kB, TLR2, IP3 receptor"
572,Immune response_Differentiation and clonal expansion of CD8+ T cells,39,8.58E-03,2.20E-02,8.58E-03,2.20E-02,9,"STAT3, MHC class II, ICAM1, STAT4, CD70(TNFSF7), CD137 ligand(TNFSF9), NF-kB, CD137(TNFRSF9), IFN-beta",2.14E-02,6.53E-02,8,"MHC class II, ICAM1, STAT4, CD70(TNFSF7), CD137 ligand(TNFSF9), NF-kB, CD137(TNFRSF9), IFN-beta"
573,Immune response_Naive CD4+ T cell differentiation,46,8.89E-03,2.24E-02,8.89E-03,2.24E-02,10,"STAT3, IL-1 beta, GATA-3, MHC class II, ROR-alpha, RUNX3, STAT4, ROR-gamma, IL-6, NF-kB",2.03E-02,6.35E-02,9,"IL-1 beta, GATA-3, MHC class II, ROR-alpha, RUNX3, STAT4, ROR-gamma, IL-6, NF-kB"
574,Immune response_Inhibitory action of Lipoxins on pro-inflammatory TNF-alpha signaling,46,8.89E-03,2.24E-02,8.89E-03,2.24E-02,10,"STAT3, IL-1 beta, TNF-R2, PI3K cat class IA, IL-8, Cyclin E, IL-6, AKT(PKB), PDK (PDPK1), p27KIP1",1.18E-01,2.26E-01,7,"IL-1 beta, TNF-R2, PI3K cat class IA, IL-8, Cyclin E, IL-6, AKT(PKB)"
575,Cytoskeleton remodeling_Regulation of actin cytoskeleton nucleation and polymerization by Rho GTPases,46,8.89E-03,2.24E-02,8.89E-03,2.24E-02,10,"DRF, Rac1-related, FMNL3, FMNL2, F-Actin cytoskeleton, RhoA-related, Actin cytoskeletal, Rac2, RhoB, FNBP1",5.20E-02,1.23E-01,8,"DRF, Rac1-related, FMNL3, FMNL2, RhoA-related, Rac2, RhoB, FNBP1"
576,Development_Endothelin-1/EDNRA transactivation of EGFR,46,8.89E-03,2.24E-02,8.89E-03,2.24E-02,10,"Tuberin, PI3K cat class IA, EGFR, ERK1/2, SOS, AKT(PKB), G-protein alpha-q/11, PDK (PDPK1), EDNRA, IP3 receptor",1.18E-01,2.26E-01,7,"PI3K cat class IA, EGFR, SOS, AKT(PKB), G-protein alpha-q/11, EDNRA, IP3 receptor"
577,Nociception_Expression and role of Nociceptin in immune system,46,8.89E-03,2.24E-02,8.89E-03,2.24E-02,10,"STAT3, IL-1 beta, RelA (p65 NF-kB subunit), ESR1 (nuclear), CaMK II beta, CCL2, TLR4, ERK1/2, LIF, IL-6",5.20E-02,1.23E-01,8,"IL-1 beta, RelA (p65 NF-kB subunit), ESR1 (nuclear), CaMK II beta, CCL2, TLR4, LIF, IL-6"
578,Dual function of Treg cells in cancer development,46,8.89E-03,2.24E-02,8.89E-03,2.24E-02,10,"STAT3, COX-2 (PTGS2), ROR-alpha, ETS1, ROR-gamma, WNT, Neuropilin-1, IL-6, Beta-catenin, 5'-NTD",5.20E-02,1.23E-01,8,"COX-2 (PTGS2), ROR-alpha, ETS1, ROR-gamma, WNT, Neuropilin-1, IL-6, 5'-NTD"
579,"Development_Insulin, IGF-1 and TNF-alpha in brown adipocyte differentiation",53,8.90E-03,2.24E-02,8.90E-03,2.24E-02,11,"Adiponectin, IRS-2, ERK1/2, FOXC2, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor, AKT(PKB), FASN, p27KIP1, Perilipin, C/EBPalpha",1.02E-01,2.02E-01,8,"Adiponectin, IRS-2, FOXC2, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor, AKT(PKB), Perilipin, C/EBPalpha"
580,Signal transduction_CXCR4 signaling via MAPKs cascades,53,8.90E-03,2.24E-02,8.90E-03,2.24E-02,11,"BAD, PAK, RelA (p65 NF-kB subunit), N-Ras, G-protein alpha-i family, ERK1/2, IL-6, SMAD3, CTGF, GAD1, PREX1",2.00E-01,3.35E-01,7,"PAK, RelA (p65 NF-kB subunit), G-protein alpha-i family, IL-6, CTGF, GAD1, PREX1"
581,Putative pathways of MHC class I-dependent postsynaptic long-term depression in major depressive disorder,21,8.93E-03,2.58E-02,1.05E-02,2.58E-02,6,"MHC Class I alpha chain, TAP1 (PSF1), HLA-B, HLA-A, TAP2 (PSF2), TAP",8.93E-03,3.56E-02,6,"MHC Class I alpha chain, TAP1 (PSF1), HLA-B, HLA-A, TAP2 (PSF2), TAP"
582,Role of tumor-infiltrating B cells in anti-tumor immunity,91,9.79E-03,2.46E-02,9.79E-03,2.46E-02,16,"STAT3, IL-18R1, MHC class II, ADAM-TS9, IP10, NY-ESO-1, CXorf61, SOX2, CD38, I-TAC, G-protein alpha-i family, MAGE-1 antigen, MAGEB2, NF-kB, p53, BLIMP1 (PRDI-BF1)",3.35E-02,9.29E-02,14,"IL-18R1, MHC class II, ADAM-TS9, IP10, NY-ESO-1, CXorf61, SOX2, CD38, I-TAC, G-protein alpha-i family, MAGE-1 antigen, MAGEB2, NF-kB, BLIMP1 (PRDI-BF1)"
583,Stem cells_NOTCH1-induced self-renewal of glioblastoma stem cells,40,1.02E-02,2.53E-02,1.02E-02,2.53E-02,9,"STAT3, HES5, SOX2, BMP4, EGFR, Nestin, p53, Jagged1, BMP2",6.49E-02,1.46E-01,7,"HES5, SOX2, BMP4, EGFR, Nestin, Jagged1, BMP2"
584,Development_FGF2-induced self-renewal of adult neural stem cells,40,1.02E-02,2.53E-02,1.02E-02,2.53E-02,9,"PI3K cat class IA, PKC, ERK1/2, FGF2, SOS, AKT(PKB), PDK (PDPK1), Jagged1, IP3 receptor",6.49E-02,1.46E-01,7,"PI3K cat class IA, PKC, FGF2, SOS, AKT(PKB), Jagged1, IP3 receptor"
585,Th2-cytokines-induced mucous metaplasia in asthma,40,1.02E-02,2.53E-02,1.02E-02,2.53E-02,9,"CLCA1, PI3K cat class IA, IRS-2, Mucin 5AC, ERK1/2, SOS, PGE2R3, HAG-2, PDEF",2.47E-02,7.23E-02,8,"CLCA1, PI3K cat class IA, IRS-2, Mucin 5AC, SOS, PGE2R3, HAG-2, PDEF"
586,Development_FGF signaling in pancreatic and hepatic differentiation of embryonic stem cells,40,1.02E-02,2.53E-02,1.02E-02,2.53E-02,9,"N-cadherin, Activin A, Alpha 1-antitrypsin, FGFR4, BMP4, ERK1/2, FGF2, SOS, BMP2",2.47E-02,7.23E-02,8,"N-cadherin, Activin A, Alpha 1-antitrypsin, FGFR4, BMP4, FGF2, SOS, BMP2"
587,Eosinophil granule protein release in asthma,54,1.03E-02,2.55E-02,1.03E-02,2.55E-02,11,"NGF, ST2(L), cPKC (conventional), PKC, PKC-alpha, IL-33, ERK1/2, CAMP, Tryptase, PRG2, C3a",2.14E-02,6.53E-02,10,"NGF, ST2(L), cPKC (conventional), PKC, PKC-alpha, IL-33, CAMP, Tryptase, PRG2, C3a"
588,Activation of TGF-beta signaling in pancreatic cancer,27,1.03E-02,2.55E-02,1.03E-02,2.55E-02,7,"ICAM1, TGF-beta receptor type II, SLUG, SOS, SMAD3, ERK2 (MAPK1), GLI-2",9.12E-02,1.87E-01,5,"ICAM1, TGF-beta receptor type II, SLUG, SOS, GLI-2"
589,Immune response_Induction of apoptosis and inhibition of proliferation mediated by IFN-gamma,47,1.04E-02,2.55E-02,1.04E-02,2.55E-02,10,"IL-15, IFI17, IDO1, Cyclin E, CTGF, Caspase-1, Caspase-8, p53, p27KIP1, IFN-beta",1.28E-01,2.40E-01,7,"IL-15, IFI17, IDO1, Cyclin E, CTGF, Caspase-1, IFN-beta"
590,Regulation of mast cell survival in asthma,47,1.04E-02,2.55E-02,1.04E-02,2.55E-02,10,"BAD, Syk, NGF, TNF-R2, Bcl-2, ERK1/2, IL-6, alpha-5/beta-1 integrin, AKT(PKB), Fibronectin",5.79E-02,1.34E-01,8,"Syk, NGF, TNF-R2, Bcl-2, IL-6, alpha-5/beta-1 integrin, AKT(PKB), Fibronectin"
591,Development_PIP3 signaling in cardiac myocytes,47,1.04E-02,2.55E-02,1.04E-02,2.55E-02,10,"BAD, HGF, Tuberin, PI3K cat class IA, PTEN, SOS, AKT(PKB), PDK (PDPK1), HGF receptor (Met), PI3K reg class IB (p101)",2.49E-01,3.91E-01,6,"HGF, PI3K cat class IA, SOS, AKT(PKB), HGF receptor (Met), PI3K reg class IB (p101)"
592,Immune response_PGE2 common pathways,47,1.04E-02,2.55E-02,1.04E-02,2.55E-02,10,"COX-2 (PTGS2), PGE2R2, PGE2R4, G-protein alpha-i family, Adenylate cyclase, ERK2 (MAPK1), AKT(PKB), PGE2R3, ERK1 (MAPK3), IP3 receptor",5.79E-02,1.34E-01,8,"COX-2 (PTGS2), PGE2R2, PGE2R4, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PGE2R3, IP3 receptor"
593,Inhibition of tumor suppressive pathways in pancreatic cancer,21,1.05E-02,2.58E-02,1.05E-02,2.58E-02,6,"p14ARF, p15, SNAIL1, p53, p16INK4, CDK6",1.16E-01,2.24E-01,4,"p14ARF, p15, p16INK4, CDK6"
594,Neurophysiological process_Thyroliberin in cell hyperpolarization and excitability,35,1.13E-02,3.21E-02,1.37E-02,3.21E-02,8,"MaxiK alpha subunit, cPKC (conventional), Thyroliberin, PKC-alpha, Kir3.4, KCNH7, Kir3.1, IP3 receptor",1.13E-02,4.22E-02,8,"MaxiK alpha subunit, cPKC (conventional), Thyroliberin, PKC-alpha, Kir3.4, KCNH7, Kir3.1, IP3 receptor"
595,Muscle contraction_Oxytocin signaling in uterus and mammary gland,62,1.13E-02,2.77E-02,1.13E-02,2.77E-02,12,"COX-2 (PTGS2), PLA2(hGIIA), cPKC (conventional), AKR1C3, PKC, PKC-alpha, cPLA2, EGFR, ERK1/2, PGF2aR, G-protein alpha-q/11, IP3 receptor",2.20E-02,6.61E-02,11,"COX-2 (PTGS2), PLA2(hGIIA), cPKC (conventional), AKR1C3, PKC, PKC-alpha, cPLA2, EGFR, PGF2aR, G-protein alpha-q/11, IP3 receptor"
596,Estradiol metabolism,42,1.14E-02,3.26E-02,1.40E-02,3.26E-02,9,"UGT2B28, UGT1A1, CYP1A1, UGT1A10, SULT1A1, UGT2B7, UGT2B11, UGT2B17, UGT1A4",1.14E-02,4.22E-02,9,"UGT2B28, UGT1A1, CYP1A1, UGT1A10, SULT1A1, UGT2B7, UGT2B11, UGT2B17, UGT1A4"
597,Transition of Monoclonal gammopathy of undetermined significance to active multiple myeloma (schema),22,1.14E-02,3.15E-02,1.33E-02,3.15E-02,6,"NCAM1, MMP-2, p15, Osteoprotegerin, p16INK4, MMP-9",1.14E-02,4.22E-02,6,"NCAM1, MMP-2, p15, Osteoprotegerin, p16INK4, MMP-9"
598,Regulation of Adenylate cyclase and IMPA1 by lithium in major depressive disorder,22,1.14E-02,3.15E-02,1.33E-02,3.15E-02,6,"G-protein alpha-i1, Adenylate cyclase type II, P2X2, G-protein alpha-i family, Adenylate cyclase, Alpha-2A adrenergic receptor",1.14E-02,4.22E-02,6,"G-protein alpha-i1, Adenylate cyclase type II, P2X2, G-protein alpha-i family, Adenylate cyclase, Alpha-2A adrenergic receptor"
599,Th2 cell migration in asthma,34,1.15E-02,2.79E-02,1.15E-02,2.79E-02,8,"Lck, alpha-4/beta-1 integrin, ICAM1, CD44, CCR8, G-protein alpha-i family, Beta-2 adrenergic receptor, PI3K reg class IB (p101)",2.99E-02,8.48E-02,7,"alpha-4/beta-1 integrin, ICAM1, CD44, CCR8, G-protein alpha-i family, Beta-2 adrenergic receptor, PI3K reg class IB (p101)"
600,Role of Apo-2L(TNFSF10) in Prostate Cancer cell apoptosis,34,1.15E-02,2.79E-02,1.15E-02,2.79E-02,8,"TRUNDD(TNFRSF10D), c-IAP2, Caspase-10, c-IAP1, Bcl-2, NF-kB, Osteoprotegerin, Caspase-8",2.99E-02,8.48E-02,7,"TRUNDD(TNFRSF10D), c-IAP2, Caspase-10, c-IAP1, Bcl-2, NF-kB, Osteoprotegerin"
601,G-protein signaling_G-Protein alpha-q signaling cascades,34,1.15E-02,2.79E-02,1.15E-02,2.79E-02,8,"PI3K cat class IA, SOS, NF-kB, AKT(PKB), G-protein alpha-q/11, RGS2, PDK (PDPK1), IP3 receptor",2.99E-02,8.48E-02,7,"PI3K cat class IA, SOS, NF-kB, AKT(PKB), G-protein alpha-q/11, RGS2, IP3 receptor"
602,Immune response_Platelet activating factor/ PTAFR pathway signaling,55,1.18E-02,2.85E-02,1.18E-02,2.85E-02,11,"STAT3, IL-1 beta, PI3K cat class IA, CCL2, G-protein alpha-i family, Adenylate cyclase, F-Actin cytoskeleton, NF-kB, AKT(PKB), MMP-9, IP3 receptor",5.68E-02,1.32E-01,9,"IL-1 beta, PI3K cat class IA, CCL2, G-protein alpha-i family, Adenylate cyclase, NF-kB, AKT(PKB), MMP-9, IP3 receptor"
603,Chemotaxis_CCL2-induced chemotaxis,55,1.18E-02,2.85E-02,1.18E-02,2.85E-02,11,"PI3K cat class IA, CCL2, cPLA2, Lyn, G-protein alpha-i family, ERK1/2, Actin cytoskeletal, PA24A, SOS, PI3K reg class IB (p101), IP3 receptor",5.68E-02,1.32E-01,9,"PI3K cat class IA, CCL2, cPLA2, Lyn, G-protein alpha-i family, PA24A, SOS, PI3K reg class IB (p101), IP3 receptor"
604,Apoptosis and survival_NO synthesis and signaling,55,1.18E-02,2.85E-02,1.18E-02,2.85E-02,11,"NMDA receptor, COX-2 (PTGS2), IL-1 beta, iNOS, ERK1/2, CaMK I, NF-kB, AKT(PKB), PDK (PDPK1), PI3K cat class IA (p110-delta), NF-kB p65/p65",5.68E-02,1.32E-01,9,"NMDA receptor, COX-2 (PTGS2), IL-1 beta, iNOS, CaMK I, NF-kB, AKT(PKB), PI3K cat class IA (p110-delta), NF-kB p65/p65"
605,Development_Fetal brown fat cell differentiation,55,1.18E-02,2.85E-02,1.18E-02,2.85E-02,11,"PI3K cat class IA, IRS-2, Adenylate cyclase, ERK1/2, PPARGC1 (PGC1-alpha), SOS, AKT(PKB), PDK (PDPK1), FASN, C/EBPalpha, Prolactin receptor",1.20E-01,2.30E-01,8,"PI3K cat class IA, IRS-2, Adenylate cyclase, PPARGC1 (PGC1-alpha), SOS, AKT(PKB), C/EBPalpha, Prolactin receptor"
606,Development_Schema: Methods of somatic cell reprogramming into induced pluripotent stem cells,6,1.20E-02,3.14E-02,1.32E-02,3.14E-02,3,"Oct-3/4, SOX2, LIN-28",1.20E-02,4.43E-02,3,"Oct-3/4, SOX2, LIN-28"
607,Immune response_TLR2-induced platelet activation,41,1.20E-02,2.88E-02,1.20E-02,2.88E-02,9,"IL-1 beta, TLR1, PI3K cat class IA, PKC-alpha, cPLA2, ERK1/2, AKT(PKB), TLR2, IP3 receptor",2.83E-02,8.10E-02,8,"IL-1 beta, TLR1, PI3K cat class IA, PKC-alpha, cPLA2, AKT(PKB), TLR2, IP3 receptor"
608,Oxidative stress_Role of IL-8 signaling pathway in respiratory burst,48,1.20E-02,2.88E-02,1.20E-02,2.88E-02,10,"PKC-alpha, IL-8, G-protein alpha-i family, ERK1/2, Rac2, AKT(PKB), IL8RA, PI3K reg class IB (p101), IP3 receptor, PREX1",2.63E-02,7.57E-02,9,"PKC-alpha, IL-8, G-protein alpha-i family, Rac2, AKT(PKB), IL8RA, PI3K reg class IB (p101), IP3 receptor, PREX1"
609,Muscle contraction_Relaxin signaling pathway,48,1.20E-02,2.88E-02,1.20E-02,2.88E-02,10,"LGR7, EDNRB, Adenylate cyclase type V, iNOS, G-protein alpha-i family, ERK1/2, MMP-2, NF-kB, AKT(PKB), MMP-9",2.63E-02,7.57E-02,9,"LGR7, EDNRB, Adenylate cyclase type V, iNOS, G-protein alpha-i family, MMP-2, NF-kB, AKT(PKB), MMP-9"
610,Development_Adiponectin signaling,48,1.20E-02,2.88E-02,1.20E-02,2.88E-02,10,"STAT3, PI3K cat class IA, Adiponectin, ERK1/2, IL-6, FGF2, SOS, AKT(PKB), A-Raf-1, IP3 receptor",1.39E-01,2.55E-01,7,"PI3K cat class IA, Adiponectin, IL-6, FGF2, SOS, AKT(PKB), IP3 receptor"
611,Immune response_IL-12 signaling pathway,48,1.20E-02,2.88E-02,1.20E-02,2.88E-02,10,"STAT3, PI3K cat class IA, GADD45 gamma, Lck, iNOS, RUNX3, STAT4, AKT(PKB), PDK (PDPK1), ERM",1.39E-01,2.55E-01,7,"PI3K cat class IA, GADD45 gamma, iNOS, RUNX3, STAT4, AKT(PKB), ERM"
612,Development_Role of CNTF and LIF in regulation of oligodendrocyte development,28,1.26E-02,3.02E-02,1.26E-02,3.02E-02,7,"STAT3, c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), LIF, AKT(PKB), PDK (PDPK1)",1.03E-01,2.04E-01,5,"c-IAP2, PI3K cat class IA, RelA (p65 NF-kB subunit), LIF, AKT(PKB)"
613,Immune response_Innate immune response to RNA viral infection,28,1.26E-02,3.02E-02,1.26E-02,3.02E-02,7,"Caspase-10, IL-8, TLR7, NF-kB, Caspase-8, TLR3, IFN-beta",3.61E-02,9.75E-02,6,"Caspase-10, IL-8, TLR7, NF-kB, TLR3, IFN-beta"
614,NF-AT signaling in cardiac hypertrophy,65,1.27E-02,3.66E-02,1.63E-02,3.66E-02,12,"HDAC9, PI3K cat class IA, PKC-alpha, NCX1, G-protein alpha-i family, MEF2C, LIF, IL-6, AKT(PKB), G-protein alpha-q/11, HAND2, Troponin I, cardiac",1.27E-02,4.65E-02,12,"HDAC9, PI3K cat class IA, PKC-alpha, NCX1, G-protein alpha-i family, MEF2C, LIF, IL-6, AKT(PKB), G-protein alpha-q/11, HAND2, Troponin I, cardiac"
615,Apoptosis and survival_CXCR3-B signaling,63,1.28E-02,3.06E-02,1.28E-02,3.06E-02,12,"STAT3, GATA-3, IP10, IDO2, I-TAC, ITGB3, Adenylate cyclase, Bcl-2, ERK1/2, Beclin 1, p53, IP3 receptor",2.07E-01,3.42E-01,8,"GATA-3, IP10, IDO2, I-TAC, ITGB3, Adenylate cyclase, Bcl-2, IP3 receptor"
616,EGF- and HGF-dependent stimulation of metastasis in gastric cancer,22,1.33E-02,3.15E-02,1.33E-02,3.15E-02,6,"HGF, EGFR, ERK1/2, SOS, HGF receptor (Met), PLAU (UPA)",4.31E-02,1.09E-01,5,"HGF, EGFR, SOS, HGF receptor (Met), PLAU (UPA)"
617,T regulatory cell migration in asthma,22,1.33E-02,3.15E-02,1.33E-02,3.15E-02,6,"Lck, CCR8, G-protein alpha-i family, AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101)",1.32E-01,2.45E-01,4,"CCR8, G-protein alpha-i family, AKT(PKB), PI3K reg class IB (p101)"
618,Immune response_IL-15 signaling via JAK-STAT cascade,22,1.33E-02,3.15E-02,1.33E-02,3.15E-02,6,"STAT3, Syk, IL-15, IL-15RA, Bcl-2, sIL-15RA",4.31E-02,1.09E-01,5,"Syk, IL-15, IL-15RA, Bcl-2, sIL-15RA"
619,Immune response_HMGB1/TLR signaling pathway,36,1.34E-02,3.66E-02,1.62E-02,3.66E-02,8,"IL-1 beta, RelA (p65 NF-kB subunit), IL-8, TLR4, IL-6, TIRAP (Mal), IFN-beta, TLR2",1.34E-02,4.78E-02,8,"IL-1 beta, RelA (p65 NF-kB subunit), IL-8, TLR4, IL-6, TIRAP (Mal), IFN-beta, TLR2"
620,Development_Hedgehog and PTH signaling pathways in bone and cartilage development,36,1.34E-02,3.66E-02,1.62E-02,3.66E-02,8,"MMP-13, RUNX2, PTCH1, PTHR1, PTHrP, GLI-1, G-protein alpha-q/11, GLI-2",1.34E-02,4.78E-02,8,"MMP-13, RUNX2, PTCH1, PTHR1, PTHrP, GLI-1, G-protein alpha-q/11, GLI-2"
621,Immune response_IL-5 signaling via JAK/STAT,56,1.34E-02,3.17E-02,1.34E-02,3.17E-02,11,"STAT3, IL-1 beta, c-IAP2, Amphiregulin, CISH, IL-8, XBP1, Bcl-2, PRG2, Pim-1, BLIMP1 (PRDI-BF1)",2.71E-02,7.78E-02,10,"IL-1 beta, c-IAP2, Amphiregulin, CISH, IL-8, XBP1, Bcl-2, PRG2, Pim-1, BLIMP1 (PRDI-BF1)"
622,G-protein signaling_S1P2 receptor signaling pathway,35,1.37E-02,3.21E-02,1.37E-02,3.21E-02,8,"PTEN, G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101), IP3 receptor, Adenylate cyclase type VII",9.13E-02,1.87E-01,6,"G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PI3K reg class IB (p101), IP3 receptor, Adenylate cyclase type VII"
623,Immune response_Th17 cell differentiation,35,1.37E-02,3.21E-02,1.37E-02,3.21E-02,8,"STAT3, IL-1 beta, MHC class II, ROR-alpha, ROR-gamma, TGF-beta receptor type II, IL-6, NF-kB",3.46E-02,9.44E-02,7,"IL-1 beta, MHC class II, ROR-alpha, ROR-gamma, TGF-beta receptor type II, IL-6, NF-kB"
624,Development_Melanocyte development and pigmentation,49,1.39E-02,3.24E-02,1.39E-02,3.24E-02,10,"SOX10, PI3K cat class IA, ERK1/2, Beta-catenin, SOS, AKT(PKB), ACTH, alpha-MSH, PDK (PDPK1), Frizzled",1.50E-01,2.70E-01,7,"SOX10, PI3K cat class IA, SOS, AKT(PKB), ACTH, alpha-MSH, Frizzled"
625,Transcription_CREB signaling pathway,49,1.39E-02,3.24E-02,1.39E-02,3.24E-02,10,"cPKC (conventional), PI3K cat class IA, Galpha(s)-specific amine GPCRs, PKC-alpha, ERK1/2, CDO1, SOS, AKT(PKB), PDK (PDPK1), DREAM",7.09E-02,1.55E-01,8,"cPKC (conventional), PI3K cat class IA, Galpha(s)-specific amine GPCRs, PKC-alpha, CDO1, SOS, AKT(PKB), DREAM"
626,Immune response_PD-1-induced metabolic changes in T cells,49,1.39E-02,3.24E-02,1.39E-02,3.24E-02,10,"PI3K cat class IA, PD-L2, Lck, PTEN, ERK1/2, Fyn, AKT(PKB), PDK (PDPK1), FASN, PD-L1",4.59E-01,6.29E-01,5,"PI3K cat class IA, PD-L2, Fyn, AKT(PKB), PD-L1"
627,Apoptosis and survival_BAD phosphorylation,42,1.40E-02,3.26E-02,1.40E-02,3.26E-02,9,"BAD, PI3K cat class IA, EGFR, Bcl-2, ERK1/2, Beclin 1, SOS, AKT(PKB), PDK (PDPK1)",3.30E-01,4.86E-01,5,"PI3K cat class IA, EGFR, Bcl-2, SOS, AKT(PKB)"
