Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
599,Cell adhesion_Classical cadherin-mediated cell adhesion,26,2.198E-02,5.145E-02,2.198E-02,5.145E-02,5,"N-cadherin, Beta-catenin, Actin cytoskeletal, F-Actin, F-Actin cytoskeleton",8.079E-01,9.057E-01,1,N-cadherin,
600,Signal transduction_HTR2A-dependent arachidonic acid production,26,2.198E-02,5.145E-02,2.198E-02,5.145E-02,5,"COX-2 (PTGS2), G-protein alpha-q/11, cPLA2, G-protein alpha-i family, ERK1/2",7.198E-02,1.654E-01,4,"COX-2 (PTGS2), G-protein alpha-q/11, cPLA2, G-protein alpha-i family",
601,Regulation of relaxation of airway smooth muscle cells,45,2.225E-02,5.155E-02,2.225E-02,5.155E-02,7,"PGE2R2, PGE2R4, Beta-2 adrenergic receptor, PGD2R, PACAP, F-Actin cytoskeleton, MLCK",5.566E-02,1.365E-01,6,"PGE2R2, PGE2R4, Beta-2 adrenergic receptor, PGD2R, PACAP, MLCK",
602,Retinal ganglion cell damage in glaucoma,45,2.225E-02,5.155E-02,2.225E-02,5.155E-02,7,"BAD, NGF, NGFR(TNFRSF16), iNOS, A2M, C3, EDNRA",5.566E-02,1.365E-01,6,"NGF, NGFR(TNFRSF16), iNOS, A2M, C3, EDNRA",
603,Immune response_PGE2 signaling in immune response,45,2.225E-02,5.155E-02,2.225E-02,5.155E-02,7,"HGF, COX-2 (PTGS2), PGE2R2, PGE2R4, ERK2 (MAPK1), IL-8, Adenylate cyclase",5.566E-02,1.365E-01,6,"HGF, COX-2 (PTGS2), PGE2R2, PGE2R4, IL-8, Adenylate cyclase",
604,Th2-cytokines and IFN-mediated regulation of airway smooth muscle contraction,27,2.253E-02,5.781E-02,2.561E-02,5.781E-02,5,"Histamine H1 receptor, IRS-2, CD38, IFN-beta, PI3K cat class IA (p110-delta)",2.253E-02,6.975E-02,5,"Histamine H1 receptor, IRS-2, CD38, IFN-beta, PI3K cat class IA (p110-delta)",
605,Cell adhesion_Integrin inside-out signaling in neutrophils,77,2.327E-02,5.384E-02,2.327E-02,5.384E-02,10,"Syk, GRO-1, iNOS, ERK2 (MAPK1), ITGB2, ICAM1, CD44, IL-8, Lyn, G-protein alpha-i family",4.568E-02,1.188E-01,9,"Syk, GRO-1, iNOS, ITGB2, ICAM1, CD44, IL-8, Lyn, G-protein alpha-i family",
606,Th9 cells in asthma,47,2.356E-02,6.115E-02,2.766E-02,6.115E-02,7,"ST2(L), TGF-beta, MHC class II, CRLR, Activin A, IL-33, CCL7",2.356E-02,7.245E-02,7,"ST2(L), TGF-beta, MHC class II, CRLR, Activin A, IL-33, CCL7",
607,Main chemotherapy drugs and their action in SCLC cells,100,2.429E-02,5.577E-02,2.429E-02,5.577E-02,12,"BAD, AKT(PKB), Caveolin-1, CCL2, PKC-alpha, p53, IL-8, Cyclin E, EGFR, PLAU (UPA), MDR1, ERK1/2",1.604E-01,2.913E-01,9,"AKT(PKB), Caveolin-1, CCL2, PKC-alpha, IL-8, Cyclin E, EGFR, PLAU (UPA), MDR1",
608,Immune response_IL-6-induced acute-phase response in hepatocytes,36,2.443E-02,5.577E-02,2.443E-02,5.577E-02,6,"STAT3, IL-6, GRO-1, SAA1, A2M, C3",6.718E-02,1.567E-01,5,"IL-6, GRO-1, SAA1, A2M, C3",
609,Immune response_IL-22 signaling pathway,36,2.443E-02,5.577E-02,2.443E-02,5.577E-02,6,"STAT3, MHC class II, STAT4, IL22RA1, IL-22RA2, ERK1/2",1.775E-01,3.127E-01,4,"MHC class II, STAT4, IL22RA1, IL-22RA2",
610,Development_EPO-induced Jak-STAT pathway,36,2.443E-02,5.577E-02,2.443E-02,5.577E-02,6,"STAT3, c-Fes, ERK2 (MAPK1), Lyn, Pim-1, ERK1/2",3.821E-01,5.472E-01,3,"c-Fes, Lyn, Pim-1",
611,PR action in breast cancer: stimulation of cell growth and proliferation,36,2.443E-02,5.577E-02,2.443E-02,5.577E-02,6,"STAT3, Cyclin E, EGFR, MMP-9, ERK1/2, MMP-2",1.775E-01,3.127E-01,4,"Cyclin E, EGFR, MMP-9, MMP-2",
612,Microsatellite instability in colorectal cancer,36,2.443E-02,5.577E-02,2.443E-02,5.577E-02,6,"PCNA, HLA-DRA1, p53, TGF-beta receptor type II, EGFR, Ephrin-B receptor 2",1.775E-01,3.127E-01,4,"HLA-DRA1, TGF-beta receptor type II, EGFR, Ephrin-B receptor 2",
613,Inhibition of apoptosis in multiple myeloma,36,2.443E-02,5.577E-02,2.443E-02,5.577E-02,6,"STAT3, IL-6, c-IAP2, p53, Jagged1, TLR4",1.775E-01,3.127E-01,4,"IL-6, c-IAP2, Jagged1, TLR4",
614,Signal transduction_CXCR4 signaling via PI3K cascade,46,2.485E-02,5.646E-02,2.485E-02,5.646E-02,7,"BAD, IL-6, Beta-catenin, SGK1, PI3K cat class IA, AKT(PKB), G-protein alpha-i family",1.499E-01,2.774E-01,5,"IL-6, SGK1, PI3K cat class IA, AKT(PKB), G-protein alpha-i family",
615,Transcription_Hypoxia- and receptor-mediated HIF-1 activation,46,2.485E-02,5.646E-02,2.485E-02,5.646E-02,7,"STAT3, HGF, IL-1 beta, PI3K cat class IA, AKT(PKB), EGFR, ERK1/2",1.499E-01,2.774E-01,5,"HGF, IL-1 beta, PI3K cat class IA, AKT(PKB), EGFR",
616,Nociception_Expression and role of Nociceptin in immune system,46,2.485E-02,5.646E-02,2.485E-02,5.646E-02,7,"STAT3, IL-1 beta, IL-6, CCL2, TLR4, ERK1/2, LIF",1.499E-01,2.774E-01,5,"IL-1 beta, IL-6, CCL2, TLR4, LIF",
617,HCV-dependent cytoplasmic signaling leading to HCC,27,2.561E-02,5.781E-02,2.561E-02,5.781E-02,5,"BAD, PKC, ERK2 (MAPK1), AKT(PKB), ERK1/2",5.005E-01,6.664E-01,2,"PKC, AKT(PKB)",
618,Regulation of VEGF signaling in pancreatic cancer,27,2.561E-02,5.781E-02,2.561E-02,5.781E-02,5,"STAT3, Neuropilin-2, IL-6, Neuropilin-1, ERK1/2",2.287E-01,3.780E-01,3,"Neuropilin-2, IL-6, Neuropilin-1",
619,HCV-dependent regulation of membrane receptors signaling in HCC,27,2.561E-02,5.781E-02,2.561E-02,5.781E-02,5,"IL-1 beta, TGF-alpha, ERK2 (MAPK1), EGFR, ERK1/2",2.287E-01,3.780E-01,3,"IL-1 beta, TGF-alpha, EGFR",
620,Glucocorticoid- and LABA-mediated inhibition of pro-inflammatory signaling in airway fibroblasts/myofibroblasts,28,2.609E-02,6.472E-02,2.960E-02,6.472E-02,5,"IL-1 beta, IL-6, Beta-2 adrenergic receptor, ICAM1, IL-8",2.609E-02,7.852E-02,5,"IL-1 beta, IL-6, Beta-2 adrenergic receptor, ICAM1, IL-8",
621,Possible influence of low doses of Arsenite on glucose uptake in muscle,28,2.609E-02,6.472E-02,2.960E-02,6.472E-02,5,"PI3K cat class IA, PTGIS, AKT(PKB), IRS-2, MEF2C",2.609E-02,7.852E-02,5,"PI3K cat class IA, PTGIS, AKT(PKB), IRS-2, MEF2C",
622,Th1 and Th17 cells in an autoimmune mechanism of emphysema formation in smokers,28,2.609E-02,6.472E-02,2.960E-02,6.472E-02,5,"MHC class II, CCL20, CD44, Elastin, MMP-9",2.609E-02,7.852E-02,5,"MHC class II, CCL20, CD44, Elastin, MMP-9",
623,Skeletal muscle atrophy in COPD,57,2.663E-02,5.981E-02,2.663E-02,5.981E-02,8,"PPARGC1 (PGC1-alpha), iNOS, SMAD3, ERK2 (MAPK1), AKT(PKB), Vimentin, MyHC, ERK1/2",4.672E-01,6.319E-01,4,"PPARGC1 (PGC1-alpha), iNOS, AKT(PKB), Vimentin",
624,Development_Cytokine-mediated regulation of megakaryopoiesis,57,2.663E-02,5.981E-02,2.663E-02,5.981E-02,8,"STAT3, IL-1 beta, IL-6, NF-E2 (45 kDa), PI3K cat class IA, AKT(PKB), ERK1/2, LIF",1.356E-01,2.587E-01,6,"IL-1 beta, IL-6, NF-E2 (45 kDa), PI3K cat class IA, AKT(PKB), LIF",
625,Lysophospholipid mediators-induced inflammatory signaling in normal and asthmatic airway epithelium,57,2.663E-02,5.981E-02,2.663E-02,5.981E-02,8,"COX-2 (PTGS2), CCL20, AKT(PKB), IL-8, Lyn, MMP-9, G-protein alpha-i family, ERK1/2",5.882E-02,1.428E-01,7,"COX-2 (PTGS2), CCL20, AKT(PKB), IL-8, Lyn, MMP-9, G-protein alpha-i family",
626,T follicular helper cell dysfunction in SLE,90,2.683E-02,6.017E-02,2.683E-02,6.017E-02,11,"STAT3, IL-6, Fyn, MHC class II, PI3K cat class IA, TLR7, PKC-theta, AKT(PKB), A20, IFN-beta, BLIMP1 (PRDI-BF1)",4.883E-02,1.246E-01,10,"IL-6, Fyn, MHC class II, PI3K cat class IA, TLR7, PKC-theta, AKT(PKB), A20, IFN-beta, BLIMP1 (PRDI-BF1)",
627,Signal transduction_Production and main functions of biologically active prostaglandins and Thromboxane A2,59,2.694E-02,6.881E-02,3.201E-02,6.881E-02,8,"PGF2aR, COX-2 (PTGS2), PGE2R2, PGE2R4, PTGIS, AKR1C3, PGD2R, cPLA2",2.694E-02,7.973E-02,8,"PGF2aR, COX-2 (PTGS2), PGE2R2, PGE2R4, PTGIS, AKR1C3, PGD2R, cPLA2",
628,Role of type 2 innate lymphoid cells in airway allergic inflammation and tissue repair,38,2.699E-02,6.711E-02,3.113E-02,6.711E-02,6,"ST2(L), IL7RA, ETS1, EGFR, IL-33, PI3K cat class IA (p110-delta)",2.699E-02,7.973E-02,6,"ST2(L), IL7RA, ETS1, EGFR, IL-33, PI3K cat class IA (p110-delta)",
629,Impaired macrophage phagocytic function in asthma,38,2.699E-02,6.711E-02,3.113E-02,6.711E-02,6,"GSTP1, TNF-R2, PA24A, iC3b, CD14, MMP-9",2.699E-02,7.973E-02,6,"GSTP1, TNF-R2, PA24A, iC3b, CD14, MMP-9",
630,Immune response_Fc epsilon RI pathway: calcium-dependent signaling,68,2.733E-02,6.115E-02,2.733E-02,6.115E-02,9,"Syk, Myosin II, Fyn, AKT(PKB), PKC-alpha, ERM proteins, cPLA2, Lyn, ERK1/2",1.226E-01,2.386E-01,7,"Syk, Fyn, AKT(PKB), PKC-alpha, ERM proteins, cPLA2, Lyn",
631,Development_Growth factors in regulation of oligodendrocyte precursor cell survival,37,2.764E-02,6.115E-02,2.764E-02,6.115E-02,6,"BAD, Fyn, PI3K cat class IA, PDGF-R-alpha, AKT(PKB), Lyn",7.394E-02,1.684E-01,5,"Fyn, PI3K cat class IA, PDGF-R-alpha, AKT(PKB), Lyn",
632,Down-regulation of mast cell functions through ITIM-containing inhibitory receptors in asthma,37,2.764E-02,6.115E-02,2.764E-02,6.115E-02,6,"Syk, SHPS-1, Fyn, CCL2, Lyn, ERK1/2",7.394E-02,1.684E-01,5,"Syk, SHPS-1, Fyn, CCL2, Lyn",
633,FGFR3 signaling in multiple myeloma,37,2.764E-02,6.115E-02,2.764E-02,6.115E-02,6,"STAT3, FGF2, ERK2 (MAPK1), AKT(PKB), FGF9, ERK1/2",3.990E-01,5.626E-01,3,"FGF2, AKT(PKB), FGF9",
634,Development_Negative feedback regulation of WNT/Beta-catenin signaling,37,2.764E-02,6.115E-02,2.764E-02,6.115E-02,6,"Beta-catenin, Tcf(Lef), Dsh, WNT, G-protein alpha-i family, Frizzled",1.900E-01,3.306E-01,4,"Tcf(Lef), WNT, G-protein alpha-i family, Frizzled",
635,G-protein signaling_H-RAS regulation pathway,37,2.764E-02,6.115E-02,2.764E-02,6.115E-02,6,"Angiopoietin 1, TIE2, PI3K cat class IA, Lck, CalDAG-GEFIII, PDGF-R-beta",7.394E-02,1.684E-01,5,"Angiopoietin 1, TIE2, PI3K cat class IA, CalDAG-GEFIII, PDGF-R-beta",
636,Immune response_PGE2 common pathways,47,2.766E-02,6.115E-02,2.766E-02,6.115E-02,7,"COX-2 (PTGS2), PGE2R2, PGE2R4, ERK2 (MAPK1), AKT(PKB), G-protein alpha-i family, Adenylate cyclase",6.629E-02,1.557E-01,6,"COX-2 (PTGS2), PGE2R2, PGE2R4, AKT(PKB), G-protein alpha-i family, Adenylate cyclase",
637,Immune response_Role of DPP4 (CD26) in immune regulation,47,2.766E-02,6.115E-02,2.766E-02,6.115E-02,7,"IL-6, Fyn, MHC class II, Lck, DPP4, Caveolin-1, ADA",6.629E-02,1.557E-01,6,"IL-6, Fyn, MHC class II, DPP4, Caveolin-1, ADA",
638,Aberrant production of IL-2 and IL-17 in SLE T cells,58,2.923E-02,6.453E-02,2.923E-02,6.453E-02,8,"Syk, IL-1 beta, IL-6, MHC class II, Lck, AKT(PKB), ETS1, ERK1/2",1.439E-01,2.712E-01,6,"Syk, IL-1 beta, IL-6, MHC class II, AKT(PKB), ETS1",
639,Impaired inhibition of Th17 cell differentiation by IFN-beta in multiple sclerosis,28,2.960E-02,6.472E-02,2.960E-02,6.472E-02,5,"STAT3, IL-1 beta, IL-6, TGF-beta receptor type II, IFN-beta",8.966E-02,1.935E-01,4,"IL-1 beta, IL-6, TGF-beta receptor type II, IFN-beta",
640,Development_Role of CNTF and LIF in regulation of oligodendrocyte development,28,2.960E-02,6.472E-02,2.960E-02,6.472E-02,5,"STAT3, c-IAP2, PI3K cat class IA, AKT(PKB), LIF",8.966E-02,1.935E-01,4,"c-IAP2, PI3K cat class IA, AKT(PKB), LIF",
641,Development_Mu-type opioid receptor regulation of proliferation,28,2.960E-02,6.472E-02,2.960E-02,6.472E-02,5,"beta-Endorphin extracellular region, ADAM12, EGFR, G-protein alpha-i family, ERK1/2",8.966E-02,1.935E-01,4,"beta-Endorphin extracellular region, ADAM12, EGFR, G-protein alpha-i family",
642,Immune response_CD16 signaling in NK cells,69,2.973E-02,6.479E-02,2.973E-02,6.479E-02,9,"Syk, Actin cytoskeletal, CD94, PI3K cat class IA, Lck, PKC-theta, ERK2 (MAPK1), PLA2, ERK1/2",4.191E-01,5.836E-01,5,"Syk, CD94, PI3K cat class IA, PKC-theta, PLA2",
643,Chemotaxis_CXCR3-A signaling,69,2.973E-02,6.479E-02,2.973E-02,6.479E-02,9,"Lck, AKT(PKB), STAT4, I-TAC, IL-8, MMP-9, PREX2, ERK1/2, MMP-2",1.297E-01,2.510E-01,7,"AKT(PKB), STAT4, I-TAC, IL-8, MMP-9, PREX2, MMP-2",
644,Apoptosis and survival_nAChR in apoptosis inhibition and cell cycle progression,29,2.998E-02,7.266E-02,3.396E-02,7.266E-02,5,"nAChR alpha-7, Fyn, PI3K cat class IA, nAChR alpha, AKT(PKB)",2.998E-02,8.724E-02,5,"nAChR alpha-7, Fyn, PI3K cat class IA, nAChR alpha, AKT(PKB)",
645,Development_Auditory hair cell differentiation in embryogenesis,29,2.998E-02,7.266E-02,3.396E-02,7.266E-02,5,"NGFR(TNFRSF16), HES5, Jagged1, BMP4, GFI-1",2.998E-02,8.724E-02,5,"NGFR(TNFRSF16), HES5, Jagged1, BMP4, GFI-1",
646,Development_BMP7 in brown adipocyte differentiation,39,3.030E-02,7.344E-02,3.488E-02,7.344E-02,6,"PPARGC1 (PGC1-alpha), COL5A1, Annexin I, PSAT, EDNRA, OTOP1",3.030E-02,8.742E-02,6,"PPARGC1 (PGC1-alpha), COL5A1, Annexin I, PSAT, EDNRA, OTOP1",
647,Immune response_HMGB1 release from the cell,39,3.030E-02,7.344E-02,3.488E-02,7.344E-02,6,"IL-1 beta, TNF-R2, PI3K cat class IA, PKC-alpha, TLR4, TLR2",3.030E-02,8.742E-02,6,"IL-1 beta, TNF-R2, PI3K cat class IA, PKC-alpha, TLR4, TLR2",
648,PXR-mediated direct regulation of xenobiotic metabolizing enzymes / Rodent version,39,3.030E-02,7.344E-02,3.488E-02,7.344E-02,6,"CYP27A1, UGT1A1, CYP24A1, MDR1, UGT1A6, CYP11A1",3.030E-02,8.742E-02,6,"CYP27A1, UGT1A1, CYP24A1, MDR1, UGT1A6, CYP11A1",
649,Neuropeptide signaling in pancreatic cancer,48,3.067E-02,6.665E-02,3.067E-02,6.665E-02,7,"HGF, G-protein alpha-q/11, CCL2, PKC-alpha, HGF receptor (Met), NT, ERK1/2",7.202E-02,1.654E-01,6,"HGF, G-protein alpha-q/11, CCL2, PKC-alpha, HGF receptor (Met), NT",
650,Muscle contraction_Relaxin signaling pathway,48,3.067E-02,6.665E-02,3.067E-02,6.665E-02,7,"LGR7, iNOS, AKT(PKB), MMP-9, G-protein alpha-i family, ERK1/2, MMP-2",7.202E-02,1.654E-01,6,"LGR7, iNOS, AKT(PKB), MMP-9, G-protein alpha-i family, MMP-2",
651,Development_FGF2-dependent induction of EMT,20,3.110E-02,7.344E-02,3.459E-02,7.344E-02,4,"IL-1 beta, PI3K cat class IA, FGF2, AKT(PKB)",3.110E-02,8.937E-02,4,"IL-1 beta, PI3K cat class IA, FGF2, AKT(PKB)",
652,Development_Gastrin in differentiation of the gastric mucosa,38,3.113E-02,6.711E-02,3.113E-02,6.711E-02,6,"cPKC (conventional), PKC-theta, PKC, G-protein alpha-q/11, PKC-alpha, ERK1/2",8.105E-02,1.792E-01,5,"cPKC (conventional), PKC-theta, PKC, G-protein alpha-q/11, PKC-alpha",
653,Transcription_Role of AP-1 in regulation of cellular metabolism,38,3.113E-02,6.711E-02,3.113E-02,6.711E-02,6,"PLAUR (uPAR), ITGA5, TSG-6, CGB3, IFN-beta, ERK1/2",8.105E-02,1.792E-01,5,"PLAUR (uPAR), ITGA5, TSG-6, CGB3, IFN-beta",
654,TNF-alpha-induced inflammatory signaling in normal and asthmatic airway epithelium,38,3.113E-02,6.711E-02,3.113E-02,6.711E-02,6,"IL-6, GRO-1, ICAM1, CCL2, IL-8, ERK1/2",8.105E-02,1.792E-01,5,"IL-6, GRO-1, ICAM1, CCL2, IL-8",
655,CHDI_DEGs from Replication data_Causal network,81,3.183E-02,6.853E-02,3.183E-02,6.853E-02,10,"Beta-catenin, PKC, AKT(PKB), p53, cPLA2, Dsh, WNT, Frizzled, ERK1/2, ACM3",3.794E-01,5.468E-01,6,"PKC, AKT(PKB), cPLA2, WNT, Frizzled, ACM3",
656,CAR-mediated direct regulation of xenobiotic metabolizing enzymes / Rodent version,40,3.386E-02,8.008E-02,3.892E-02,8.008E-02,6,"GSTP1, UGT1A1, CYP24A1, MDR1, AL1A1, UGT1A6",3.386E-02,9.588E-02,6,"GSTP1, UGT1A1, CYP24A1, MDR1, AL1A1, UGT1A6",
657,CAR-mediated direct regulation of xenobiotic metabolizing enzymes / Human version,40,3.386E-02,8.008E-02,3.892E-02,8.008E-02,6,"GSTP1, UGT1A1, CYP24A1, MDR1, AL1A1, UGT1A6",3.386E-02,9.588E-02,6,"GSTP1, UGT1A1, CYP24A1, MDR1, AL1A1, UGT1A6",
658,Immune response_PD-1-induced metabolic changes in T cells,49,3.390E-02,7.266E-02,3.390E-02,7.266E-02,7,"Fyn, PI3K cat class IA, PD-L2, Lck, AKT(PKB), ERK1/2, PD-L1",1.805E-01,3.149E-01,5,"Fyn, PI3K cat class IA, PD-L2, AKT(PKB), PD-L1",
659,PDGF activation of prostacyclin synthesis ,30,3.422E-02,8.008E-02,3.870E-02,8.008E-02,5,"COX-2 (PTGS2), PTGIS, PA24A, PKC-alpha, PDGF-R-beta",3.422E-02,9.649E-02,5,"COX-2 (PTGS2), PTGIS, PA24A, PKC-alpha, PDGF-R-beta",
660,Gamma-secretase regulation of angiogenesis,30,3.422E-02,8.008E-02,3.870E-02,8.008E-02,5,"Angiopoietin 1, NOTCH4 (ICD4), NOTCH4, TIE2, Ephrin-B receptor 2",3.422E-02,9.649E-02,5,"Angiopoietin 1, NOTCH4 (ICD4), NOTCH4, TIE2, Ephrin-B receptor 2",
661,Role of Langerin+ dermal dendritic cells in contact hypersensitivity,20,3.459E-02,7.344E-02,3.459E-02,7.344E-02,4,"STAT3, Langerin, ITGB2, CCL2",1.210E-01,2.379E-01,3,"Langerin, ITGB2, CCL2",
662,DNA damage_Inhibition of telomerase activity and cellular senescence,20,3.459E-02,7.344E-02,3.459E-02,7.344E-02,4,"AKT(PKB), p53, p16INK4, CDK6",1.210E-01,2.379E-01,3,"AKT(PKB), p16INK4, CDK6",
663,Cytoskeleton remodeling_Role of Activin A in cytoskeleton remodeling,20,3.459E-02,7.344E-02,3.459E-02,7.344E-02,4,"ACTA2, SMAD3, Activin A, Fibronectin",1.210E-01,2.379E-01,3,"ACTA2, Activin A, Fibronectin",
664,Resistance of melanoma cells to Apo-2L(TNFSF10)-induced apoptosis,39,3.488E-02,7.344E-02,3.488E-02,7.344E-02,6,"STAT3, TRUNDD(TNFRSF10D), PI3K cat class IA, Caspase-8, p53, ERK1/2",7.007E-01,8.364E-01,2,"TRUNDD(TNFRSF10D), PI3K cat class IA",
665,Development_ERBB-family signaling,39,3.488E-02,7.344E-02,3.488E-02,7.344E-02,6,"PI3K cat class IA, TGF-alpha, AKT(PKB), Epiregulin, EGFR, ERK1/2",8.852E-02,1.926E-01,5,"PI3K cat class IA, TGF-alpha, AKT(PKB), Epiregulin, EGFR",
666,Activation of Notch signaling in breast cancer,39,3.488E-02,7.344E-02,3.488E-02,7.344E-02,6,"STAT3, NOTCH4, SNAIL1, MAML2, Jagged1, TCF8",2.159E-01,3.622E-01,4,"NOTCH4, MAML2, Jagged1, TCF8",
667,Development_Stimulation of differentiation of mouse embryonic fibroblasts into adipocytes by extracellular factors,71,3.496E-02,7.344E-02,3.496E-02,7.344E-02,9,"EGR2 (Krox20), Lysyl oxidase, ERK2 (MAPK1), IRS-2, NGAL, Adenylate cyclase, BMP2, ERK1/2, LIF",1.445E-01,2.714E-01,7,"EGR2 (Krox20), Lysyl oxidase, IRS-2, NGAL, Adenylate cyclase, BMP2, LIF",
668,Development_Positive regulation of STK3/4 (Hippo) pathway and negative regulation of YAP/TAZ function,71,3.496E-02,7.344E-02,3.496E-02,7.344E-02,9,"AMPK gamma subunit, Beta-catenin, Actin cytoskeletal, TAZ, Schwannomin (NF2), Beta-2 adrenergic receptor, Angiomotin (AMOT), Adenylate cyclase, LIF",2.696E-01,4.284E-01,6,"AMPK gamma subunit, TAZ, Beta-2 adrenergic receptor, Angiomotin (AMOT), Adenylate cyclase, LIF",
669,Immune response_IL-4 signaling pathway,94,3.551E-02,7.450E-02,3.551E-02,7.450E-02,11,"BAD, STAT3, Syk, c-Fes, PKC, ERK2 (MAPK1), AKT(PKB), PDE3A, IRS-2, PI3K cat class IA (p110-delta), ERK1/2",3.559E-01,5.230E-01,7,"Syk, c-Fes, PKC, AKT(PKB), PDE3A, IRS-2, PI3K cat class IA (p110-delta)",
670,Transport_The role of AVP in regulation of Aquaporin 2 and renal water reabsorption,50,3.735E-02,7.823E-02,3.735E-02,7.823E-02,7,"Myosin II, Actin cytoskeletal, MyHC, MLCK, MRLC, ACTB, ERK1/2",8.210E-01,9.136E-01,2,"MLCK, MRLC",
671,Degranulation of lung mast cells,63,3.807E-02,9.067E-02,4.491E-02,9.067E-02,8,"Syk, PGE2R2, cPKC (conventional), Fyn, PI3K cat class IA, Beta-2 adrenergic receptor, Lyn, G-protein alpha-i family",3.807E-02,1.058E-01,8,"Syk, PGE2R2, cPKC (conventional), Fyn, PI3K cat class IA, Beta-2 adrenergic receptor, Lyn, G-protein alpha-i family",
672,Immune response_iC3b-induced phagocytosis via alpha-M/beta-2 integrin,61,3.810E-02,7.956E-02,3.810E-02,7.956E-02,8,"Syk, Myosin II, Actin cytoskeletal, PI3K cat class IA, Rac2, iC3b, PKC, ITGB2",1.702E-01,3.027E-01,6,"Syk, PI3K cat class IA, Rac2, iC3b, PKC, ITGB2",
673,Effect of H. pylori infection on inflammation in gastric epithelial cells,61,3.810E-02,7.956E-02,3.810E-02,7.956E-02,8,"COX-2 (PTGS2), IL-6, iNOS, PKC-alpha, IL-8, TLR4, TLR2, ERK1/2",7.896E-02,1.775E-01,7,"COX-2 (PTGS2), IL-6, iNOS, PKC-alpha, IL-8, TLR4, TLR2",
674,Development_G-CSF-induced myeloid differentiation,30,3.870E-02,8.008E-02,3.870E-02,8.008E-02,5,"STAT3, ITGB2, NGAL, ERK1/2, GFI-1",2.793E-01,4.382E-01,3,"ITGB2, NGAL, GFI-1",
675,Role of CNTF and LIF in regulation of oligodendrocyte development in multiple sclerosis,30,3.870E-02,8.008E-02,3.870E-02,8.008E-02,5,"STAT3, c-IAP2, PI3K cat class IA, AKT(PKB), LIF",1.092E-01,2.213E-01,4,"c-IAP2, PI3K cat class IA, AKT(PKB), LIF",
676,Alternative complement cascade disruption in age-related macular degeneration,31,3.881E-02,8.898E-02,4.382E-02,8.898E-02,5,"iC3b, C3a, C3, Factor I, C3b",3.881E-02,1.066E-01,5,"iC3b, C3a, C3, Factor I, C3b",
677,Development_Role of Activin A in cell differentiation and proliferation,40,3.892E-02,8.008E-02,3.892E-02,8.008E-02,6,"p15, SMAD3, Activin A, Oct-3/4, Adenylate cyclase, CYP11A1",9.633E-02,2.023E-01,5,"p15, Activin A, Oct-3/4, Adenylate cyclase, CYP11A1",
678,Development_FGF2-induced self-renewal of adult neural stem cells,40,3.892E-02,8.008E-02,3.892E-02,8.008E-02,6,"PI3K cat class IA, FGF2, PKC, AKT(PKB), Jagged1, ERK1/2",9.633E-02,2.023E-01,5,"PI3K cat class IA, FGF2, PKC, AKT(PKB), Jagged1",
679,Development_SLIT-ROBO1 signaling,40,3.892E-02,8.008E-02,3.892E-02,8.008E-02,6,"Myosin II, Fyn, PI3K cat class IA, AKT(PKB), F-Actin cytoskeleton, ACTB",4.490E-01,6.139E-01,3,"Fyn, PI3K cat class IA, AKT(PKB)",
680,Development_FGF signaling in pancreatic and hepatic differentiation of embryonic stem cells,40,3.892E-02,8.008E-02,3.892E-02,8.008E-02,6,"N-cadherin, FGF2, Activin A, BMP4, BMP2, ERK1/2",9.633E-02,2.023E-01,5,"N-cadherin, FGF2, Activin A, BMP4, BMP2",
681,Immune response_NF-AT in immune response,51,4.102E-02,8.427E-02,4.102E-02,8.427E-02,7,"Syk, MHC class II, PI3K cat class IA, Lck, PKC-theta, AKT(PKB), Lyn",9.086E-02,1.937E-01,6,"Syk, MHC class II, PI3K cat class IA, PKC-theta, AKT(PKB), Lyn",
682,Development_Negative regulation of STK3/4 (Hippo) pathway and positive regulation of YAP/TAZ function,62,4.141E-02,8.483E-02,4.141E-02,8.483E-02,8,"Actin cytoskeletal, TAZ, Schwannomin (NF2), G-protein alpha-q/11, CD44, Angiomotin (AMOT), EGFR, ERK1/2",3.323E-01,4.947E-01,5,"TAZ, G-protein alpha-q/11, CD44, Angiomotin (AMOT), EGFR",
683,Development_Gastrin in cell growth and proliferation,62,4.141E-02,8.483E-02,4.141E-02,8.483E-02,8,"STAT3, Beta-catenin, PI3K cat class IA, ERK2 (MAPK1), G-protein alpha-q/11, PKC-alpha, EGFR, ERK1/2",5.338E-01,7.004E-01,4,"PI3K cat class IA, G-protein alpha-q/11, PKC-alpha, EGFR",
684,Transport_ACM3 signaling in salivary glands,42,4.177E-02,9.564E-02,4.785E-02,9.564E-02,6,"G-protein alpha-i1, PKC, G-protein alpha-q/11, G-protein alpha-i family, MLCK, ACM3",4.177E-02,1.133E-01,6,"G-protein alpha-i1, PKC, G-protein alpha-q/11, G-protein alpha-i family, MLCK, ACM3",
